"","gene","CTX-M-DSVA1","CTX-M-DSVA2","CTX-M-DSVA3","CTX-M-DSVA4","STR-M-DSVA1","STR-M-DSVA2","STR-M-DSVA3","STR-M-DSVA4"
"123","1700006F04Rik",0,0,0,1.31,0,0,0,0
"124","1700006H21Rik",0,0,0,0,0,0,0,0
"125","1700006J14Rik",3.56,1.07,0,0,0,1.41,0,0.68
"126","1700006P03Rik",0,0,0,0,0,0,0,0
"127","1700007E05Rik",3.56,0,0,0,0,0,0,0
"128","1700007F19Rik",3.56,4.29,2.67,5.25,8.73,2.81,3.58,8.79
"129","1700007H22Rik",0,0,0,0,0,0,0,0
"130","1700007J10Rik",0,0,0,1.31,0,0,0,0
"131","1700007K13Rik",89.1,51.43,49.48,47.23,52.37,116.65,76.94,92.6
"132","1700007L15Rik",16.04,13.93,9.36,23.61,4.03,9.14,9.84,13.52
"133","1700007M16Rik",0,0,0,0,0,0,0,0
"134","1700007P06Rik",19.6,32.14,17.39,32.8,5.37,0,0,0
"135","1700008A23Rik",0,0,0,0,0,0.7,0,0.68
"136","1700008B11Rik",0,0,0,0,0,0,0,0
"137","1700008C04Rik",0,0,0,0,0,0,0,0
"138","1700008H02Rik",0,0,0,0,0,0,0.89,0
"139","1700008J07Rik",42.77,51.43,104.32,91.83,69.82,48.49,65.31,56.77
"140","1700008K24Rik",0,0,0,0,0,0,0,0
"141","1700008N11Rik",0,0,0,2.62,0,0,0,0
"142","1700008O03Rik",46.33,41.78,38.78,41.98,41.63,52,35.79,47.99
"143","1700008P02Rik",0,0,0,0,0,0,0,0
"144","1700009C05Rik",3.56,1.07,5.35,1.31,1.34,2.11,0,0.68
"145","1700009J07Rik",0,0,0,0,0.67,0,1.79,0
"146","1700009N14Rik",0,0,0,0,0,0,0,0
"147","1700010B08Rik",0,0,0,1.31,0,0,0,0.68
"148","1700010B13Rik",0,2.14,4.01,0,2.01,0,0,2.7
"149","1700010D01Rik",0,0,0,0,0,0,0,0
"150","1700010G06Rik",0,3.21,0,0,2.69,0,0,0
"151","1700010H22Rik",0,0,0,0,0,0,0,0
"152","1700010I02Rik",0,0,0,0,0,0,0,0
"153","1700010I14Rik",23.16,10.71,14.71,18.37,34.91,39.35,43.84,25.68
"154","1700010J16Rik",1.78,1.07,0,0,0,0,0,0
