"","gene","CTX-M-DSVA1","CTX-M-DSVA2","CTX-M-DSVA3","CTX-M-DSVA4","STR-M-DSVA1","STR-M-DSVA2","STR-M-DSVA3","STR-M-DSVA4","baseMean","log2FC","log2FCunshrunk","pvalue","padj"
"13215","Gm14566",0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"13216","Gm14567",21.38,32.14,14.71,24.93,3.36,3.51,8.95,7.43,14.6,-1.53,-2.03,7e-05,0.00032
"13217","Gm14568",0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"13218","Gm14569",28.51,64.28,37.45,68.22,30.21,105.4,28.63,31.09,49.2,-0.02,-0.03,0.948,0.96938
"13219","Gm14570",0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"13220","Gm14571",0,0,1.34,1.31,0,0,0,0,0.3,-0.12,-2.38,0.49481,NA
"13221","Gm14573",0,2.14,0,1.31,0,2.81,1.79,0,1,0.04,0.32,0.87165,0.91988
"13222","Gm14574",0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"13223","Gm14575",0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"13224","Gm14576",0,0,1.34,0,0,0,0,0,0.2,-0.08,-1.61,0.64874,NA
"13225","Gm14577",0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"13226","Gm14578",0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"13227","Gm14579",0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"13228","Gm14580",0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"13229","Gm14581",0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"13230","Gm14582",0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"13231","Gm14584",3.56,3.21,4.01,18.37,23.5,23.19,13.42,12.17,12.7,0.67,1.3,0.03859,0.08238
"13232","Gm14585",3.56,0,0,0,0,0,0,0.68,0.5,-0.11,-1.81,0.5557,NA
"13233","Gm14586",199.57,87.85,117.69,122,44.98,75.19,54.57,64.88,95.8,-0.96,-1.12,4e-05,0.00017
"13234","Gm14587",0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"13235","Gm14588",0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"13236","Gm14589",0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"13237","Gm14590",0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"13238","Gm14591",0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"13239","Gm14592",0,0,0,0,0,0,0.89,1.35,0.3,0.06,1.17,0.73729,NA
"13240","Gm14593",0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"13241","Gm14594",0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"13242","Gm14595",0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"13243","Gm14596",0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"13244","Gm14597",0,0,0,1.31,0,0.7,0,0,0.3,-0.04,-0.89,0.80151,NA
"13245","Gm14598",0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"13246","Gm14599",0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"13247","Gm14600",0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"13248","Gm14601",0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"13249","Gm14602",0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"13250","Gm14603",0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"13251","Gm14605",0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"13252","Gm14606",0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"13253","Gm14607",0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"13254","Gm14608",0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"13255","Gm14609",0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"13256","Gm14610",0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"13257","Gm14612",0,0,1.34,0,0,0,0,0,0.2,-0.08,-1.61,0.64874,NA
"13258","Gm14613",0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"13259","Gm14614",0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"13260","Gm14615",0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"13261","Gm14616",0,1.07,0,0,0,0,0,0,0.1,-0.08,-1.61,0.64874,NA
"13262","Gm14617",0,0,0,0,0.67,0,0,0,0.1,-0.01,-0.17,0.9623,NA
"13263","Gm14618",0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"13264","Gm14619",0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"13265","Gm14620",0,0,0,0,0,0.7,0,0,0.1,-0.01,-0.17,0.9623,NA
"13266","Gm14621",0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"13267","Gm14622",0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"13268","Gm14623",0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"13269","Gm14624",0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"13270","Gm14625",0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"13271","Gm14626",0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"13272","Gm14627",0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"13273","Gm14628",0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"13274","Gm14629",0,0,0,0,0,0,0,0.68,0.1,-0.01,-0.17,0.9623,NA
"13275","Gm14630",3.56,0,4.01,1.31,0,0.7,0,0,1.2,-0.49,-3.29,0.0811,0.15274
"13276","Gm14631",0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"13277","Gm14632",0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"13278","Gm14633",1.78,1.07,0,0,0,0.7,0.89,0,0.6,-0.07,-0.81,0.73089,NA
"13279","Gm14634",21.38,23.57,28.08,19.68,22.16,23.89,19.68,10.81,21.2,-0.18,-0.28,0.47004,0.60444
"13280","Gm14635",0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"13281","Gm14636",5.35,2.14,1.34,1.31,2.01,2.11,1.79,1.35,2.2,-0.11,-0.42,0.6976,0.79572
"13282","Gm14637",1.78,4.29,20.06,6.56,4.03,9.14,10.74,2.7,7.4,-0.12,-0.32,0.68033,0.78212
"13283","Gm14638",0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"13284","Gm14639",0,1.07,1.34,2.62,0,5.62,0,0.68,1.4,0.04,0.3,0.8614,0.91256
"13285","Gm14640",0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"13286","Gm14641",0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"13287","Gm14642",0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"13288","Gm14643",0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"13289","Gm14644",0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"13290","Gm14645",0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"13291","Gm14647",0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"13292","Gm14648",3.56,4.29,4.01,2.62,0.67,0,3.58,1.35,2.5,-0.37,-1.44,0.19849,0.31441
"13293","Gm14649",0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"13294","Gm14650",0,0,0,0,0.67,0.7,0.89,0,0.3,0.07,1.18,0.7056,NA
"13295","Gm14651",0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"13296","Gm14652",0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"13297","Gm14653",0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"13298","Gm14654",0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"13299","Gm14655",0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"13300","Gm14656",0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"13301","Gm14657",0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"13302","Gm14659",0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"13303","Gm14660",0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"13304","Gm14661",0,0,5.35,0,0,0,0,0,0.7,-0.18,-3.32,0.31428,NA
"13305","Gm14662",8.91,2.14,6.69,7.87,4.7,9.14,7.16,6.76,6.7,0.07,0.16,0.8147,0.88041
"13306","Gm14663",0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"13307","Gm14664",0,1.07,1.34,1.31,2.01,1.41,0.89,0.68,1.1,0.06,0.37,0.80403,0.87336
"13308","Gm14665",0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"13309","Gm14666",0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"13310","Gm14667",0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"13311","Gm14668",0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"13312","Gm14669",0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"13313","Gm14670",0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"13314","Gm14671",0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"13315","Gm14673",0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"13316","Gm14674",0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"13317","Gm14676",0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"13318","Gm14677",0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"13319","Gm14678",0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"13320","Gm14679",0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"13321","Gm14681",12.47,11.78,10.7,9.18,10.74,9.14,10.74,6.76,10.2,-0.13,-0.24,0.6316,0.74452
"13322","Gm14682",0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"13323","Gm14684",0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"13324","Gm14685",0,0,0,0,0,0.7,0,2.03,0.3,0.07,1.47,0.67181,NA
"13325","Gm14686",0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"13326","Gm14687",0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"13327","Gm14688",0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"13328","Gm14692",0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"13329","Gm14694",0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"13330","Gm14695",0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"13331","Gm14696",0,0,0,0,0,4.92,0,1.35,0.8,0.2,2.66,0.32063,NA
"13332","Gm14697",0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"13333","Gm14698",0,3.21,1.34,1.31,6.04,2.81,2.68,2.03,2.4,0.28,1.11,0.32284,0.45679
"13334","Gm14699",0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"13335","Gm14701",0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"13336","Gm14703",158.59,359.98,329,297.79,408.87,281.78,360.55,96.65,286.6,0,0,0.99777,0.99868
"13337","Gm14704",0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"13338","Gm14705",0,1.07,1.34,1.31,0,1.41,1.79,2.03,1.1,0.06,0.42,0.79054,0.86451
"13339","Gm14706",0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"13340","Gm14707",0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"13341","Gm14709",0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"13342","Gm14710",0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"13343","Gm14711",0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"13344","Gm14712",0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"13345","Gm14713",0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"13346","Gm14714",0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"13347","Gm14715",0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"13348","Gm14716",0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"13349","Gm14717",0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"13350","Gm14718",0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"13351","Gm14719",0,7.5,10.7,5.25,2.01,5.62,1.79,6.76,5,-0.18,-0.56,0.52123,0.65165
"13352","Gm14721",0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"13353","Gm14722",0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"13354","Gm14723",0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"13355","Gm14724",0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"13356","Gm14725",0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"13357","Gm14726",0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"13358","Gm14727",0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"13359","Gm14728",0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"13360","Gm14729",0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"13361","Gm14730",3.56,1.07,0,2.62,1.34,0,0,1.35,1.2,-0.2,-1.34,0.41673,0.55369
"13362","Gm14731",0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"13363","Gm14732",0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"13364","Gm14733",0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"13365","Gm14735",0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"13366","Gm14736",0,0,0,2.62,0,0,0,0,0.3,-0.11,-2.37,0.50072,NA
"13367","Gm14739",0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"13368","Gm14740",0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"13369","Gm14741",0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"13370","Gm14742",0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"13371","Gm14743",0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"13372","Gm14744",0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"13373","Gm14745",0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"13374","Gm14746",0,0,0,0,0,0,0.89,0,0.1,-0.01,-0.17,0.9623,NA
"13375","Gm14747",0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"13376","Gm14748",0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"13377","Gm14749",0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"13378","Gm14750",0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"13379","Gm14751",0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"13380","Gm14752",0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"13381","Gm14753",1.78,0,0,0,0,0.7,0,0,0.3,-0.04,-0.89,0.80151,NA
"13382","Gm14754",0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"13383","Gm14755",0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"13384","Gm14756",0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"13385","Gm14758",0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"13386","Gm14760",3.56,4.29,8.02,6.56,5.37,4.92,4.47,6.08,5.4,-0.05,-0.11,0.87197,0.92009
"13387","Gm14761",0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"13388","Gm14762",0,0,2.67,0,0,0,0,0,0.3,-0.11,-2.39,0.49712,NA
"13389","Gm14764",0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"13390","Gm14765",0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"13391","Gm14766",0,2.14,0,0,1.34,0,0,0,0.4,-0.04,-0.8,0.80694,NA
"13392","Gm14767",0,0,1.34,0,0,0,0,0,0.2,-0.08,-1.61,0.64874,NA
"13393","Gm14768",0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"13394","Gm14769",0,1.07,0,1.31,0,0,0,1.35,0.5,-0.06,-0.87,0.75414,NA
"13395","Gm14770",0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"13396","Gm14771",0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"13397","Gm14772",0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"13398","Gm14773",0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"13399","Gm14774",0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"13400","Gm14775",0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"13401","Gm14776",8.91,3.21,0,1.31,8.06,7.03,0.89,2.7,4,0.14,0.56,0.59817,0.7184
"13402","Gm14777",0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"13403","Gm14780",0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"13404","Gm14781",0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"13405","Gm14782",0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"13406","Gm14783",0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"13407","Gm14784",0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"13408","Gm14785",0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"13409","Gm14786",0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"13410","Gm14787",0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"13411","Gm14788",0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"13412","Gm14790",0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"13413","Gm14791",0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"13414","Gm14792",0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"13415","Gm14793",0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"13416","Gm14794",1.78,0,1.34,1.31,0,1.41,0,0,0.7,-0.15,-1.55,0.47988,NA
"13417","Gm14795",0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"13418","Gm14796",0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"13419","Gm14797",0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"13420","Gm14798",0,0,1.34,0,1.34,0,0,0,0.3,-0.01,-0.2,0.95475,NA
"13421","Gm14799",0,0,0,0,0,0,0.89,0.68,0.2,0.03,0.57,0.87056,NA
"13422","Gm14800",0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"13423","Gm14802",0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"13424","Gm14803",0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"13425","Gm14804",0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"13426","Gm14805",0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"13427","Gm14806",0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"13428","Gm14807",0,0,0,0,0,0,1.79,0,0.2,0.03,0.72,0.83731,NA
"13429","Gm14808",12.47,2.14,5.35,2.62,0.67,5.62,1.79,0.68,3.9,-0.39,-1.32,0.19266,0.30701
"13430","Gm14809",0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"13431","Gm14810",3.56,0,2.67,0,1.34,1.41,1.79,1.35,1.5,0,0.01,0.99333,0.99595
"13432","Gm14811",0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"13433","Gm14812",0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"13434","Gm14813",3.56,2.14,2.67,1.31,2.01,3.51,0,1.35,2.1,-0.1,-0.44,0.70671,0.80259
"13435","Gm14815",0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"13436","Gm14816",0,0,0,0,0,0,0,1.35,0.2,0.02,0.53,0.88101,NA
"13437","Gm14817",0,3.21,2.67,2.62,0.67,0,1.79,0,1.4,-0.31,-1.92,0.23274,0.35519
"13438","Gm14819",0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"13439","Gm14820",1.78,0,0,1.31,0,0.7,0,0,0.5,-0.12,-1.68,0.53713,NA
"13440","Gm14821",0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"13441","Gm14822",1.78,2.14,0,0,0,0,0,0,0.5,-0.18,-2.87,0.34615,NA
"13442","Gm14823",0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"13443","Gm14824",0,3.21,1.34,5.25,1.34,1.41,0,0,1.6,-0.32,-1.83,0.23256,0.35501
"13444","Gm14825",0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"13445","Gm14826",0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"13446","Gm14827",30.29,26.78,28.08,35.42,6.71,11.95,3.58,2.03,18.1,-1.88,-2.3,4.94761157784126e-06,3e-05
"13447","Gm14828",0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"13448","Gm14829",0,0,1.34,0,0,0,0.89,0,0.3,-0.04,-0.89,0.80151,NA
"13449","Gm14830",1.78,3.21,4.01,11.81,2.01,4.92,1.79,1.35,3.9,-0.34,-1.06,0.25104,0.37632
"13450","Gm14831",0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"13451","Gm14832",0,1.07,0,0,0,0,0,0,0.1,-0.08,-1.61,0.64874,NA
"13452","Gm14833",0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"13453","Gm14834",0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"13454","Gm14835",0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"13455","Gm14836",0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"13456","Gm14837",0,1.07,1.34,0,0,0,0,0,0.3,-0.11,-2.28,0.51799,NA
"13457","Gm14838",0,0,0,0,0,0.7,0,0,0.1,-0.01,-0.17,0.9623,NA
"13458","Gm14839",0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"13459","Gm14840",0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"13460","Gm14841",0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"13461","Gm14842",0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"13462","Gm14843",0,1.07,0,0,0,0,0,0,0.1,-0.08,-1.61,0.64874,NA
"13463","Gm14845",1.78,0,0,0,0,0.7,0.89,0.68,0.5,0.04,0.45,0.84741,NA
"13464","Gm14846",0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"13465","Gm14847",0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"13466","Gm14848",0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"13467","Gm14849",0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"13468","Gm14852",0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"13469","Gm14853",0,1.07,0,0,0,0,0,0,0.1,-0.08,-1.61,0.64874,NA
"13470","Gm14854",0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"13471","Gm14855",0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"13472","Gm14856",0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"13473","Gm14857",3.56,0,2.67,0,0,0,0.89,2.7,1.2,-0.09,-0.73,0.70034,0.7979
"13474","Gm14858",0,0,0,1.31,1.34,0.7,0,0,0.4,0.02,0.34,0.90378,NA
"13475","Gm14859",0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"13476","Gm14860",0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"13477","Gm14861",0,0,1.34,0,0,0,0,0,0.2,-0.08,-1.61,0.64874,NA
"13478","Gm14862",0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"13479","Gm14863",0,0,0,0,0,1.41,0,0,0.2,0.03,0.57,0.87232,NA
"13480","Gm14864",0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"13481","Gm14865",0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"13482","Gm14866",0,1.07,1.34,2.62,0,0,0,0.68,0.7,-0.28,-2.53,0.23348,NA
"13483","Gm14867",0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"13484","Gm14868",0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"13485","Gm14869",0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"13486","Gm14870",0,0,1.34,0,0,0,0,0,0.2,-0.08,-1.61,0.64874,NA
"13487","Gm14871",0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"13488","Gm14874",0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"13489","Gm14875",0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"13490","Gm14876",0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"13491","Gm14877",0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"13492","Gm14878",0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"13493","Gm14879",0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"13494","Gm14880",0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"13495","Gm14881",0,0,0,0,0,0.7,0,0,0.1,-0.01,-0.17,0.9623,NA
"13496","Gm14882",0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"13497","Gm14883",0,0,0,0,0.67,0,0,0,0.1,-0.01,-0.17,0.9623,NA
"13498","Gm14884",0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"13499","Gm14885",0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"13500","Gm14886",0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"13501","Gm14887",0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"13502","Gm14890",0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"13503","Gm14891",0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"13504","Gm14892",0,1.07,0,0,0,0,0.89,0.68,0.3,-0.01,-0.15,0.96076,NA
"13505","Gm14893",0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"13506","Gm14894",0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"13507","Gm14895",0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"13508","Gm14896",0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"13509","Gm14897",0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"13510","Gm14898",0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"13511","Gm14899",0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"13512","Gm14900",0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"13513","Gm14901",0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"13514","Gm14902",0,0,1.34,1.31,0,0,0,0,0.3,-0.12,-2.38,0.49481,NA
"13515","Gm14903",0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"13516","Gm14904",0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"13517","Gm14905",0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"13518","Gm14906",0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"13519","Gm14907",0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"13520","Gm14908",0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"13521","Gm14909",0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"13522","Gm14910",0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"13523","Gm14911",0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"13524","Gm14912",0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"13525","Gm14913",0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"13526","Gm14914",0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"13527","Gm14915",0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"13528","Gm14916",0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"13529","Gm14917",0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"13530","Gm14918",0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"13531","Gm14919",0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"13532","Gm14921",0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"13533","Gm14922",0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"13534","Gm14923",0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"13535","Gm14925",1.78,0,0,0,0,0.7,0,0.68,0.4,-0.01,-0.17,0.95166,NA
"13536","Gm14926",0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"13537","Gm14927",0,0,0,0,0,0,0,0.68,0.1,-0.01,-0.17,0.9623,NA
