"","gene","CTX-M-DSVA1","CTX-M-DSVA2","CTX-M-DSVA3","CTX-M-DSVA4","STR-M-DSVA1","STR-M-DSVA2","STR-M-DSVA3","STR-M-DSVA4","baseMean","log2FC","log2FCunshrunk","pvalue","padj"
"35035","Gm5901",0,1.07,1.34,1.31,0.67,0.7,0,0,0.6,-0.15,-1.4,0.49536,NA
"35036","Gm5903",0,4.29,4.01,1.31,2.69,0.7,0.89,3.38,2.2,-0.08,-0.37,0.75407,0.83774
"35037","Gm5904",5.35,0,4.01,2.62,4.03,4.92,2.68,6.08,3.7,0.2,0.65,0.48224,0.61571
"35038","Gm5905",83.75,53.57,50.82,52.47,32.23,36.54,40.26,47.99,49.7,-0.48,-0.6,0.0265,0.05981
"35039","Gm5907",0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"35040","Gm5909",7.13,7.5,1.34,2.62,8.06,2.11,4.47,3.38,4.6,-0.01,-0.04,0.96424,0.9789
"35041","Gm5910",3.56,3.21,0,2.62,0.67,4.22,1.79,2.03,2.3,-0.02,-0.1,0.93075,0.95921
"35042","Gm5912",12.47,7.5,5.35,3.94,1.34,2.11,1.79,0,4.3,-1.09,-2.48,0.00798,0.02118
"35043","Gm5913",7.13,2.14,9.36,5.25,3.36,7.03,7.16,10.14,6.4,0.1,0.24,0.73001,0.8196
"35044","Gm5914",58.8,50.35,34.77,39.36,29.54,26,23.26,27.71,36.2,-0.61,-0.77,0.00822,0.02173
"35045","Gm5915",12.47,7.5,12.04,15.74,6.04,5.62,6.26,7.43,9.1,-0.49,-0.9,0.09676,0.17672
"35046","Gm5916",0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"35047","Gm5917",5.35,4.29,8.02,2.62,2.69,0,1.79,0,3.1,-0.64,-2.19,0.05332,0.10837
"35048","Gm5920",3.56,0,1.34,0,0,0.7,0,0,0.7,-0.21,-2.4,0.32621,NA
"35049","Gm5921",3.56,3.21,4.01,2.62,0,0.7,1.79,1.35,2.2,-0.48,-1.84,0.1146,0.20266
"35050","Gm5922",0,2.14,0,0,0,0,0,0,0.3,-0.1,-2.21,0.53165,NA
"35051","Gm5923",0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"35052","Gm5924",0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"35053","Gm5925",0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"35054","Gm5926",0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"35055","Gm5928",1.78,0,1.34,0,0,0.7,0.89,0.68,0.7,-0.04,-0.33,0.87044,NA
"35056","Gm5929",0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"35057","Gm5930",0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"35058","Gm5931",5.35,3.21,6.69,0,6.04,1.41,0,6.08,3.6,-0.03,-0.13,0.90602,0.94287
"35059","Gm5934",0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"35060","Gm5935",0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"35061","Gm5936",1.78,2.14,0,0,0,0.7,0.89,0.68,0.8,-0.09,-0.81,0.67567,NA
"35062","Gm5937",0,0,0,0,0.67,2.11,0,0.68,0.4,0.13,1.81,0.50607,NA
"35063","Gm5938",0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"35064","Gm5939",0,0,1.34,0,1.34,0,1.79,0,0.6,0.07,0.91,0.72283,NA
"35065","Gm5940",0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"35066","Gm5941",0,2.14,0,0,0,0,0,0,0.3,-0.1,-2.21,0.53165,NA
"35067","Gm5942",0,0,0,0,0,0,0,0,0,0,NA,NA,NA
"35068","Gm5943",0,0,0,0,0.67,0.7,0,0.68,0.3,0.06,1.06,0.74209,NA
"35069","Gm5944",0,0,1.34,1.31,2.01,0.7,0,0.68,0.8,0.04,0.32,0.86832,NA
