"","gene","CTX-M-CRE1","CTX-M-CRE2","CTX-M-CRE3","CTX-M-DSVA1","CTX-M-DSVA2","CTX-M-DSVA3","CTX-M-DSVA4","baseMean","log2FC","log2FCunshrunk","pvalue","padj"
"43","1110028F18Rik",0,0,0,0,0,0,0,0,0,NA,NA,NA
"44","1110032A03Rik",632.35,925.57,779.25,906.13,837.97,803.73,859.13,820.6,0.1,0.13,0.43161,0.64259
"45","1110032F04Rik",351.3,279.17,321.29,526.58,484.48,400.19,419.14,397.5,0.4,0.53,0.00237,0.02337
"46","1110035H17Rik",0.83,1,4.29,1.5,1.79,2.23,3.29,2.1,0.01,0.08,0.94843,NA
"47","1110038B12Rik",130.6,105.06,198.93,268.54,245.83,212.92,275.4,205.3,0.53,0.78,0.00112,0.01445
"48","1110038F14Rik",230.62,246.15,308.41,321.05,279.02,261.96,255.65,271.8,0.06,0.09,0.6263,0.78815
"49","1110046J04Rik",63.65,85.05,94.45,165.02,122.02,104.79,125.08,108.6,0.42,0.67,0.00851,0.05477
"50","1110051M20Rik",1201.05,1079.66,1365.3,1278.18,1307.2,1116.97,1095.04,1206.2,-0.02,-0.02,0.89302,0.94825
"51","1110057P08Rik",0,0,0,0,0,0,0,0,0,NA,NA,NA
"52","1110059E24Rik",414.13,441.27,666.19,814.62,755.43,655.47,705.52,636.1,0.38,0.53,0.00718,0.04924
"53","1110059G10Rik",252.94,243.15,461.54,511.57,477.3,399.08,392.81,391.2,0.3,0.48,0.04961,0.17077
"54","1110060G06Rik",1.65,0,0.72,0,0.9,2.23,1.1,0.9,0.01,0.42,0.82875,NA
"55","1110065P20Rik",736.5,1135.7,944.55,1407.2,1169.03,978.74,1153.19,1075,0.23,0.33,0.08614,0.24168
"56","1190001M18Rik",0,0,0,0,0,0,0,0,0,NA,NA,NA
"57","1190005I06Rik",19.01,43.03,22.18,24,24.22,16.72,21.94,24.4,-0.12,-0.36,0.41986,0.63336
"58","1190007I07Rik",85.97,106.07,123.08,184.53,152.52,147.15,164.58,137.7,0.43,0.62,0.0042,0.03461
"59","1190028D05Rik",0,0,0,0,0,0,0,0,0,NA,NA,NA
"60","1200007C13Rik",0,0,0,0,0,0,0,0,0,NA,NA,NA
"61","1300002E11Rik",71.91,52.03,95.89,148.52,113.94,117.05,118.5,102.5,0.46,0.75,0.00436,0.0356
"62","1300014J16Rik",0,1,4.29,1.5,9.87,5.57,1.1,3.3,0.08,1.34,0.30262,NA
"63","1300017J02Rik",3.31,1,0,4.5,1.79,0,1.1,1.7,0.01,0.33,0.84446,NA
"64","1500002C15Rik",21.49,22.01,39.36,45.01,40.37,15.61,27.43,30.2,0.07,0.2,0.65402,0.80643
"65","1500002F19Rik",4.96,18.01,12.88,13.5,9.87,6.69,6.58,10.4,-0.08,-0.39,0.55298,0.73465
"66","1500004A13Rik",1095.24,1111.68,1284.44,1075.66,1349.37,1193.89,1334.23,1206.4,0.07,0.09,0.53767,0.72508
"67","1500005C15Rik",1.65,0,3.58,1.5,0.9,0,0,1.1,-0.05,-1.69,0.40962,NA
"68","1500009C09Rik",2669.91,3797.33,2641.87,2986.93,2871.89,2922.85,3072.25,2994.7,-0.03,-0.03,0.83004,0.91455
"69","1500009L16Rik",181.03,191.12,355.64,306.04,296.97,251.93,287.47,267.2,0.14,0.23,0.35345,0.57543
"70","1500011B03Rik",1722.63,2021.24,1845.45,2055.3,1946.89,1934.08,1920.15,1920.8,0.06,0.08,0.5343,0.72295
"71","1500012K07Rik",4.13,5,8.59,7.5,5.38,7.8,6.58,6.4,0.03,0.18,0.80533,NA
"72","1500015A07Rik",28.1,24.01,47.94,34.5,39.48,46.82,43.89,37.8,0.12,0.29,0.41834,0.63178
"73","1500015L24Rik",2.48,3,12.16,4.5,6.28,2.23,3.29,4.8,-0.06,-0.54,0.56546,NA
"74","1500026H17Rik",49.6,44.03,105.19,174.03,129.19,113.7,151.42,109.6,0.62,1.09,0.00071,0.01064
"75","1500032F14Rik",0.83,0,3.58,0,0,0,1.1,0.8,-0.04,-2.12,0.39136,NA
"76","1500035N22Rik",25.62,42.03,54.38,159.02,116.63,134.88,125.08,94,1.32,1.71,3.27032511639849e-09,1.59861186572185e-06
"77","1520401A03Rik",2.48,1,2.15,3,1.79,1.11,2.19,2,0,0.07,0.95737,NA
"78","1600002D24Rik",0,0,2.15,1.5,0,0,3.29,1,0.01,0.67,0.77745,NA
"79","1600010M07Rik",1.65,1,0,3,4.49,1.11,3.29,2.1,0.09,1.8,0.21439,NA
"80","1600012H06Rik",389.33,316.19,398.57,429.06,415.4,383.47,432.31,394.9,0.13,0.17,0.28152,0.50445
"81","1600012P17Rik",0,0,0,0,0,0,0,0,0,NA,NA,NA
"82","1600014C10Rik",687.73,627.38,626.84,619.59,556.25,595.27,642.98,622.3,-0.08,-0.1,0.45597,0.6621
"83","1600014C23Rik",3.31,0,4.29,3,10.77,10.03,9.88,5.9,0.2,1.7,0.06868,NA
"84","1600017P15Rik",4.96,2,0,6,0.9,0,2.19,2.3,0,-0.08,0.95828,NA
"85","1600019K03Rik",0,0,0,0,0,0,0,0,0,NA,NA,NA
"86","1600020E01Rik",75.22,151.09,183.19,306.04,270.95,283.14,292.96,223.2,0.73,1.08,5e-05,0.00184
"87","1600022D10Rik",0,0,0.72,1.5,0.9,1.11,1.1,0.8,0.05,1.92,0.37837,NA
"88","1600023N17Rik",5.79,0,2.86,3,7.18,4.46,4.39,4,0.06,0.71,0.49863,NA
"89","1600025M17Rik",0,0,0,0,0,0,0,0,0,NA,NA,NA
"90","1600027J07Rik",1.65,0,0,0,0,1.11,0,0.4,-0.01,-0.69,0.84681,NA
"91","1600029O15Rik",41.33,7,18.6,10.5,15.25,32.33,23.04,21.2,-0.03,-0.14,0.81873,0.90773
"92","1700001C19Rik",2.48,2,2.86,0,0,1.11,3.29,1.7,-0.05,-1.14,0.46573,NA
"93","1700001D01Rik",0,0,0,0,0,0,0,0,0,NA,NA,NA
"94","1700001F09Rik",0,0,0,0,0,0,0,0,0,NA,NA,NA
"95","1700001G01Rik",0,0,0,0,0,3.34,0,0.5,0.02,2.44,0.51764,NA
"96","1700001G11Rik",3.31,4,5.72,15,7.18,4.46,4.39,6.3,0.11,0.79,0.3283,NA
"97","1700001G17Rik",0.83,2,1.43,9,8.07,5.57,4.39,4.5,0.24,2.27,0.02571,NA
"98","1700001J03Rik",0,1,0,0,0.9,2.23,0,0.6,0.02,1.41,0.61326,NA
"99","1700001J04Rik",0,0,0,0,0,0,1.1,0.2,0.01,1.15,0.76253,NA
"100","1700001J11Rik",0,0,0,0,0,0,0,0,0,NA,NA,NA
"101","1700001K19Rik",0,0,0,0,0.9,1.11,0,0.3,0.01,1.82,0.63224,NA
"102","1700001K23Rik",0,0,0.72,0,0,0,1.1,0.3,0,0.19,0.95997,NA
"103","1700001L05Rik",80.18,102.06,128.8,135.02,171.36,160.52,125.08,129,0.32,0.51,0.03342,0.13207
"104","1700001L19Rik",159.53,203.12,362.08,475.57,452.18,383.47,340.14,339.4,0.47,0.77,0.00391,0.03286
"105","1700001N15Rik",0,0,0,0,0,0,0,0,0,NA,NA,NA
"106","1700001O22Rik",45.46,95.06,64.4,40.51,49.35,54.62,65.83,59.3,-0.17,-0.37,0.26782,0.48925
"107","1700001P01Rik",11.57,4,13.6,1.5,4.49,3.34,8.78,6.8,-0.15,-1.09,0.186,NA
"108","1700003C15Rik",0,0,0,0,0,0,0,0,0,NA,NA,NA
"109","1700003D09Rik",4.13,3,19.32,1.5,1.79,5.57,3.29,5.5,-0.16,-1.55,0.11562,NA
"110","1700003E16Rik",553.82,806.49,615.39,913.63,839.76,894.02,1005.06,804,0.36,0.47,0.00538,0.04073
"111","1700003E24Rik",0,0,0,0,0,0,0,0,0,NA,NA,NA
"112","1700003F12Rik",4.96,5,12.88,16.5,5.38,5.57,7.68,8.3,0.02,0.15,0.83961,0.91889
"113","1700003G18Rik",0,0,0,0,1.79,1.11,0,0.4,0.02,2.27,0.51186,NA
"114","1700003H04Rik",0,0,0,0,0,0,0,0,0,NA,NA,NA
"115","1700003I16Rik",0,0,0,0,0,0,0,0,0,NA,NA,NA
"116","1700003I22Rik",0,0,0,0,0,0,0,0,0,NA,NA,NA
"117","1700003L19Rik",2.48,4,0,1.5,7.18,6.69,5.49,3.9,0.11,1.35,0.22839,NA
"118","1700003M07Rik",147.13,229.14,223.97,204.03,190.2,171.67,205.18,195.9,-0.04,-0.05,0.80027,0.89717
"119","1700003N22Rik",3.31,3,5.72,4.5,0.9,1.11,2.19,3,-0.08,-0.97,0.38646,NA
"120","1700003O11Rik",0,0,0,0,0,0,0,0,0,NA,NA,NA
"121","1700003P14Rik",0,0,0,0,0,0,0,0,0,NA,NA,NA
"122","1700006A11Rik",0,0,0,0,0,0,0,0,0,NA,NA,NA
"123","1700006F04Rik",0,0,0,0,0,0,1.1,0.2,0.01,1.15,0.76253,NA
"124","1700006H21Rik",0,0,0,0,0,0,0,0,0,NA,NA,NA
"125","1700006J14Rik",0.83,2,0,3,0.9,0,0,1,0,0.01,0.99457,NA
"126","1700006P03Rik",0,0,0,0,0,0,0,0,0,NA,NA,NA
"127","1700007E05Rik",0,0,0,3,0,0,0,0.4,0.02,2.11,0.57778,NA
"128","1700007F19Rik",0.83,3,4.29,3,3.59,2.23,4.39,3,0.02,0.28,0.79298,NA
"129","1700007H22Rik",0,0,0,0,0,0,0,0,0,NA,NA,NA
"130","1700007J10Rik",0.83,0,0,0,0,0,1.1,0.3,0,0.19,0.95997,NA
"131","1700007K13Rik",42.98,64.04,42.93,75.01,43.06,41.25,39.5,49.8,-0.01,-0.02,0.95909,0.981
"132","1700007L15Rik",8.27,10.01,10.02,13.5,11.66,7.8,19.75,11.6,0.11,0.48,0.40916,0.6248
"133","1700007M16Rik",0,0,0,0,0,0,0,0,0,NA,NA,NA
"134","1700007P06Rik",9.92,19.01,30.05,16.5,26.92,14.49,27.43,20.6,0.03,0.12,0.81187,0.90371
"135","1700008A23Rik",0,0,0,0,0,0,0,0,0,NA,NA,NA
"136","1700008B11Rik",0,0,0,0,0,0,0,0,0,NA,NA,NA
"137","1700008C04Rik",0,0,0,0,0,0,0,0,0,NA,NA,NA
"138","1700008H02Rik",0,0,0,0,0,0,0,0,0,NA,NA,NA
"139","1700008J07Rik",41.33,64.04,37.93,36.01,43.06,86.95,76.81,55.2,0.14,0.36,0.34353,0.56715
"140","1700008K24Rik",0,0,0,0,0,0,0,0,0,NA,NA,NA
"141","1700008N11Rik",0,0,0,0,0,0,2.19,0.3,0.02,1.92,0.61476,NA
"142","1700008O03Rik",49.6,59.04,22.9,39.01,34.99,32.33,35.11,39,-0.12,-0.3,0.43198,0.64266
"143","1700008P02Rik",0,0,0,0,0,0,0,0,0,NA,NA,NA
"144","1700009C05Rik",2.48,0,0,3,0.9,4.46,1.1,1.7,0.06,1.49,0.37793,NA
"145","1700009J07Rik",0,0,0.72,0,0,0,0,0.1,0,-0.53,0.88961,NA
"146","1700009N14Rik",0,0,0,0,0,0,0,0,0,NA,NA,NA
"147","1700010B08Rik",0,0,0,0,0,0,1.1,0.2,0.01,1.15,0.76253,NA
"148","1700010B13Rik",0.83,0,0,0,1.79,3.34,0,0.9,0.04,2.12,0.3926,NA
"149","1700010D01Rik",0,0,0,0,0,0,0,0,0,NA,NA,NA
"150","1700010G06Rik",2.48,0,0.72,0,2.69,0,0,0.8,-0.01,-0.57,0.81477,NA
"151","1700010H22Rik",0,0,0,0,0,0,0,0,0,NA,NA,NA
"152","1700010I02Rik",0,0,0,0,0,0,0,0,0,NA,NA,NA
"153","1700010I14Rik",7.44,10.01,12.88,19.5,8.97,12.26,15.36,12.3,0.11,0.44,0.43403,0.64385
"154","1700010J16Rik",0,0,0,1.5,0.9,0,0,0.3,0.02,1.82,0.62508,NA
"155","1700010K23Rik",1.65,0,0,0,0,0,2.19,0.5,0,0.07,0.9821,NA
"156","1700010K24Rik",0,0,3.58,0,0,3.34,1.1,1.1,0,-0.13,0.95365,NA
"157","1700010L04Rik",0,0,0,0,0,0,0,0,0,NA,NA,NA
"158","1700010N08Rik",0,0,0,0,0,0,0,0,0,NA,NA,NA
"159","1700011B04Rik",0,0,0,0,0,0,0,0,0,NA,NA,NA
"160","1700011C11Rik",0,0,0,0,0,0,0,0,0,NA,NA,NA
"161","1700011D18Rik",0.83,1,0.72,0,0.9,0,1.1,0.6,-0.01,-0.61,0.78161,NA
"162","1700011L03Rik",0,0,0,0,0,0,0,0,0,NA,NA,NA
"163","1700011L22Rik",0,0,0,0,0,0,0,0,0,NA,NA,NA
"164","1700011M02Rik",0,0,0,0,0,0,0,0,0,NA,NA,NA
"165","1700012A03Rik",0,0,0,0,0,0,0,0,0,NA,NA,NA
"166","1700012B07Rik",0,0,0,0,0,1.11,0,0.2,0.01,1.15,0.76253,NA
"167","1700012B09Rik",2.48,2,0,0,1.79,3.34,10.97,2.9,0.08,1.48,0.29852,NA
"168","1700012C08Rik",0,0,0,0,0,0,0,0,0,NA,NA,NA
"169","1700012C14Rik",0.83,1,1.43,0,5.38,2.23,1.1,1.7,0.05,1.05,0.48975,NA
"170","1700012D14Rik",5.79,6,20.75,18,16.15,18.95,13.17,14.1,0.13,0.58,0.33318,0.55734
"171","1700012D16Rik",0,0,0,0,0,0,0,0,0,NA,NA,NA
"172","1700012E03Rik",0,0,1.43,0,0,0,0,0.2,-0.01,-1.24,0.74444,NA
"173","1700012I11Rik",0,0,0,0,0.9,0,0,0.1,0.01,1.15,0.76253,NA
"174","1700012J15Rik",0,0,0,0,0,0,0,0,0,NA,NA,NA
"175","1700012J22Rik",0,0,0,0,0,0,0,0,0,NA,NA,NA
"176","1700012P22Rik",0,1,0,0,0,0,0,0.1,0,-0.53,0.88961,NA
"177","1700013A02Rik",0,0,0,0,0,0,0,0,0,NA,NA,NA
"178","1700013D24Rik",0,0,0,0,0,0,0,0,0,NA,NA,NA
"179","1700013F07Rik",8.27,0,7.87,13.5,17.94,5.57,24.14,11,0.23,1.48,0.06438,0.20117
"180","1700013G24Rik",0,0,0,0,0,0,0,0,0,NA,NA,NA
"181","1700013H16Rik",0,1,1.43,3,2.69,2.23,0,1.5,0.05,1.27,0.45666,NA
"182","1700013M08Rik",0,0,0,0,0,2.23,0,0.3,0.02,1.93,0.61177,NA
"183","1700013N06Rik",0,0,0,0,0,0,0,0,0,NA,NA,NA
"184","1700014D04Rik",2.48,10.01,7.87,7.5,2.69,8.92,9.88,7,0.01,0.09,0.91054,NA
"185","1700014F14Rik",0,0,0,0,0,0,0,0,0,NA,NA,NA
"186","1700014L14Rik",0,0,0,0,0,0,0,0,0,NA,NA,NA
"187","1700015C15Rik",0,3,0.72,6,0,0,0,1.4,0.01,0.22,0.92106,NA
"188","1700015C17Rik",0,0,0,0,0,0,0,0,0,NA,NA,NA
"189","1700015F17Rik",0,0,2.15,3,2.69,2.23,0,1.4,0.04,1.38,0.45963,NA
"190","1700015G11Rik",0,0,0,0,0,1.11,0,0.2,0.01,1.15,0.76253,NA
"191","1700015H07Rik",0,0,0,0,0,0,0,0,0,NA,NA,NA
"192","1700015I17Rik",1.65,0,0.72,1.5,0,0,1.1,0.7,-0.01,-0.44,0.85156,NA
"193","1700015O11Rik",0,0,0,0,0,0,0,0,0,NA,NA,NA
"194","1700016A09Rik",4.96,2,3.58,6,14.35,4.46,2.19,5.4,0.11,0.95,0.30199,NA
"195","1700016B01Rik",0,0,0,0,0,0,0,0,0,NA,NA,NA
"196","1700016B15Rik",0,0,0,0,0,0,0,0,0,NA,NA,NA
"197","1700016C15Rik",0.83,0,0,0,0,0,0,0.1,0,-0.53,0.88961,NA
"198","1700016D06Rik",0.83,0,0.72,3,0,2.23,0,1,0.03,1.24,0.5714,NA
"199","1700016D08Rik",0,0,0,0,0,0,0,0,0,NA,NA,NA
"200","1700016F12Rik",0,0,0,0,0,0,0,0,0,NA,NA,NA
"201","1700016G22Rik",0,0,0,0,0,0,0,0,0,NA,NA,NA
"202","1700016H03Rik",0,0,0,0,0,0,0,0,0,NA,NA,NA
"203","1700016H13Rik",2.48,0,0,1.5,3.59,2.23,0,1.4,0.04,1.16,0.54491,NA
"204","1700016J18Rik",1.65,0,0,4.5,1.79,0,4.39,1.8,0.07,2.25,0.2205,NA
"205","1700016K05Rik",0,0,0,3,0,0,0,0.4,0.02,2.11,0.57778,NA
"206","1700016K19Rik",42.16,48.03,66.55,39.01,52.93,62.43,61.44,53.2,0.02,0.05,0.87605,0.93923
"207","1700016L21Rik",0,0,0,0,0,0,0,0,0,NA,NA,NA
"208","1700016P03Rik",32.24,61.04,108.05,216.03,151.62,185.05,193.11,135.3,0.93,1.47,1e-05,0.00063
"209","1700016P04Rik",0,0,0,0,0,0,0,0,0,NA,NA,NA
"210","1700017B05Rik",357.09,412.25,186.76,142.52,122.91,148.26,182.14,221.7,-0.73,-1.1,6e-05,0.00204
"211","1700017G19Rik",0,0,0.72,0,0,0,0,0.1,0,-0.53,0.88961,NA
"212","1700017I07Rik",0,0,0,0,0,0,0,0,0,NA,NA,NA
"213","1700017J07Rik",0,0,2.15,0,0,0,0,0.3,-0.01,-1.8,0.62968,NA
"214","1700017L05Rik",0,0,0,0,0,0,0,0,0,NA,NA,NA
"215","1700017M07Rik",0.83,11.01,3.58,4.5,1.79,6.69,3.29,4.5,-0.03,-0.33,0.74997,NA
"216","1700017N19Rik",0,0,1.43,0,0,0,0,0.2,-0.01,-1.24,0.74444,NA
"217","1700018A04Rik",2.48,8,7.16,0,0.9,3.34,6.58,4.1,-0.09,-1.09,0.31686,NA
"218","1700018A14Rik",0,2,0,0,1.79,2.23,0,0.9,0.01,0.7,0.77527,NA
"219","1700018A23Rik",0,0,1.43,0,0,0,0,0.2,-0.01,-1.24,0.74444,NA
"220","1700018B08Rik",0,0,0,0,0,0,0,0,0,NA,NA,NA
"221","1700018B24Rik",0,0,0,0,0.9,0,0,0.1,0.01,1.15,0.76253,NA
"222","1700018F24Rik",0,0,0,0,0,0,0,0,0,NA,NA,NA
"223","1700018G05Rik",0,0,0,0,0,0,0,0,0,NA,NA,NA
"224","1700018L02Rik",5.79,6,7.16,12,3.59,20.07,3.29,8.3,0.09,0.6,0.44699,0.65494
"225","1700018M17Rik",0,0,0,0,0,0,0,0,0,NA,NA,NA
"226","1700018P08Rik",0,0,0,0,0,0,0,0,0,NA,NA,NA
"227","1700019A02Rik",0,2,2.15,1.5,2.69,3.34,3.29,2.1,0.06,0.99,0.46106,NA
"228","1700019A23Rik",0,0,0,0,1.79,0,0,0.3,0.01,1.75,0.64603,NA
"229","1700019C18Rik",0,0,0.72,0,0.9,2.23,0,0.5,0.02,1.4,0.62117,NA
"230","1700019D03Rik",247.15,245.15,350.63,484.57,498.83,429.18,467.42,389,0.58,0.74,5e-05,0.00182
"231","1700019E08Rik",0,0,0,0,0,0,0,0,0,NA,NA,NA
"232","1700019F05Rik",0,0,0,0,0,0,0,0,0,NA,NA,NA
"233","1700019G24Rik",1.65,1,1.43,9,0,0,4.39,2.5,0.06,1.24,0.41945,NA
"234","1700019J19Rik",0,0,0,0,0,0,2.19,0.3,0.02,1.92,0.61476,NA
"235","1700019L13Rik",0,0,0,1.5,0.9,2.23,1.1,0.8,0.07,3.2,0.1538,NA
"236","1700019M22Rik",0,0,0,0,0,0,0,0,0,NA,NA,NA
"237","1700019N19Rik",0,0,0.72,0,0,4.46,2.19,1.1,0.05,2.48,0.29562,NA
"238","1700019P21Rik",0,0,0,0,0,0,0,0,0,NA,NA,NA
"239","1700020A23Rik",0,0,0,0,0,0,0,0,0,NA,NA,NA
"240","1700020D05Rik",0.83,1,2.15,12,3.59,13.38,5.49,5.5,0.28,2.64,0.00979,NA
"241","1700020D12Rik",0,0,0,0,0,0,0,0,0,NA,NA,NA
"242","1700020G03Rik",0,0,0,0,0.9,0,0,0.1,0.01,1.15,0.76253,NA
"243","1700020G17Rik",0.83,0,0,0,0,0,0,0.1,0,-0.53,0.88961,NA
"244","1700020L24Rik",5.79,3,6.44,1.5,0.9,4.46,6.58,4.1,-0.06,-0.6,0.54414,NA
"245","1700020M21Rik",0,0,0,0,0,0,0,0,0,NA,NA,NA
"246","1700020N01Rik",0,2,5.72,0,3.59,2.23,2.19,2.2,-0.02,-0.33,0.81858,NA
"247","1700020N15Rik",0,0,0,0,0,0,0,0,0,NA,NA,NA
"248","1700020N18Rik",8.27,5,0,7.5,6.28,7.8,9.88,6.4,0.1,0.85,0.35531,NA
"249","1700021A07Rik",0,0,0,0,0,0,0,0,0,NA,NA,NA
"250","1700021F02Rik",0,0,0,0,0,0,0,0,0,NA,NA,NA
"251","1700021F07Rik",0,0,1.43,0,0,1.11,1.1,0.5,0,0.23,0.936,NA
"252","1700021F13Rik",0,0,0,0,0,0,0,0,0,NA,NA,NA
"253","1700021G15Rik",0,0,0,0,0,0,0,0,0,NA,NA,NA
"254","1700021J08Rik",0,0,1.43,0,0,2.23,0,0.5,0,0.25,0.93843,NA
"255","1700021L23Rik",0,2,0,0,0,0,1.1,0.4,-0.01,-0.92,0.78787,NA
"256","1700021N21Rik",0.83,0,0,0,0,3.34,1.1,0.8,0.03,1.89,0.46788,NA
"257","1700021P04Rik",0,0,0,0,0,0,0,0,0,NA,NA,NA
"258","1700022A21Rik",0,0,0,0,0,0,0,0,0,NA,NA,NA
"259","1700022A22Rik",0,0,0,0,0,0,0,0,0,NA,NA,NA
"260","1700022E09Rik",0,0,0,0,0,0,0,0,0,NA,NA,NA
"261","1700022H01Rik",0,0,0,3,0,0,1.1,0.6,0.03,2.68,0.38972,NA
"262","1700022H16Rik",0,0,0,0,0,0,0,0,0,NA,NA,NA
"263","1700022I11Rik",2.48,0,0,0,1.79,4.46,1.1,1.4,0.04,1.17,0.54091,NA
"264","1700022N22Rik",5.79,2,2.15,1.5,2.69,5.57,9.88,4.2,0.06,0.58,0.56482,NA
"265","1700023B13Rik",1.65,0,0.72,1.5,1.79,0,0,0.8,0,0.03,0.98766,NA
"266","1700023C21Rik",0,0,0,0,0,0,0,0,0,NA,NA,NA
"267","1700023F02Rik",0,0,9.3,0,2.69,0,3.29,2.2,-0.03,-1.03,0.58821,NA
"268","1700023G09Rik",0,0,0,0,0,0,0,0,0,NA,NA,NA
"269","1700023H06Rik",0,0,0,0,0.9,0,1.1,0.3,0.01,1.82,0.63224,NA
"270","1700024B05Rik",0,0,0,0,0,0,0,0,0,NA,NA,NA
"271","1700024B18Rik",0,0,0,1.5,0,0,0,0.2,0.01,1.15,0.76253,NA
"272","1700024G13Rik",0.83,2,0.72,6,0,1.11,1.1,1.7,0.03,0.74,0.6441,NA
"273","1700024I08Rik",0,0,0,0,0,0,0,0,0,NA,NA,NA
"274","1700024J04Rik",0,0,0,0,0.9,0,0,0.1,0.01,1.15,0.76253,NA
