"","gene","CTX-M-DSVA1","CTX-M-DSVA2","CTX-M-DSVA3","CTX-M-DSVA4","CTX-M-XDP1","CTX-M-XDP2","CTX-M-XDP3","baseMean","log2FC","log2FCunshrunk","pvalue","padj"
"6640","Cpsf3",845.35,643.31,670.2,645.42,1038.63,924.93,958.13,818,0.46,0.48,3e-05,0.00015
"6641","Cpsf4",318.97,328.26,309.95,370.45,196.95,239.3,209.44,281.9,-0.58,-0.62,7.12511721550062e-06,4e-05
"6642","Cpsf4l",1.57,2.83,1.17,0,0,2.11,5.77,1.9,0.11,0.89,0.56422,0.69863
"6643","Cpsf6",1517.85,1754.48,1791.87,1701.55,1209.49,1789.5,1544.39,1615.6,-0.15,-0.16,0.19362,0.31993
"6644","Cpsf7",1261.74,1281.9,1200.04,1280.48,1236.42,1265.28,1162.62,1241.2,-0.04,-0.04,0.62698,0.74748
"6645","Cpt1a",689.79,642.37,809.38,789.23,907.33,825.98,792.4,779.5,0.19,0.2,0.07288,0.14509
"6646","Cpt1b",3.14,3.77,3.51,0,0,0,0,1.5,-0.41,-4.17,0.03752,0.08357
"6647","Cpt1c",1428.29,1523.38,1449.17,1449.6,2096.61,1701.08,1798.35,1635.2,0.34,0.35,0.00017,0.00068
"6648","Cpt2",116.27,117.91,127.49,124.25,149.82,120,133.58,127,0.13,0.14,0.42858,0.57748
"6649","Cptp",285.97,296.19,293.58,280.72,475.55,429.48,394.14,350.8,0.55,0.58,2.58729797976865e-06,1e-05
"6650","Cpvl",4.71,3.77,2.34,3.45,3.37,2.11,0,2.8,-0.18,-0.96,0.4209,0.57013
"6651","Cpxcr1",0,0,0,0,0,0,0,0,0,NA,NA,NA
"6652","Cpxm1",188.55,196.2,191.82,201.33,176.75,171.23,164.91,184.4,-0.17,-0.19,0.20823,0.33841
"6653","Cpxm2",83.28,74.52,121.64,130,128.78,98.25,112.14,106.9,0.12,0.14,0.55177,0.68815
"6654","Cpz",26.71,16.04,30.41,63.28,16.83,41.4,21.44,30.9,-0.2,-0.35,0.46304,0.60932
"6655","Cr1l",575.09,472.58,481.89,491.25,408.21,374.74,428.77,461.8,-0.3,-0.32,0.00691,0.01917
"6656","Cr2",0,5.66,2.34,13.81,7.58,3.51,4.12,5.3,-0.04,-0.14,0.88316,0.93025
"6657","Crabp1",1.57,9.43,10.53,2.3,10.94,14.74,2.47,7.4,0.19,0.63,0.45942,0.60626
"6658","Crabp2",53.42,50.94,70.18,100.09,17.68,63.16,42.88,56.9,-0.49,-0.73,0.05548,0.11605
"6659","Cracr2a",18.86,27.35,24.56,14.96,10.1,13.33,12.37,17.4,-0.49,-0.85,0.07212,0.14396
"6660","Cracr2b",22,29.24,31.58,43.72,37.88,42.81,41.23,35.5,0.25,0.35,0.2971,0.44208
"6661","Cradd",108.42,114.14,79.53,85.14,96.79,75.79,86.58,92.3,-0.14,-0.17,0.45774,0.60482
"6662","Cramp1l",854.77,802.72,782.48,814.54,888.81,742.47,652.22,791.1,-0.09,-0.1,0.40765,0.55668
"6663","Crat",831.21,899.88,864.35,969.85,823.16,734.05,798.17,845.8,-0.18,-0.19,0.05783,0.12011
"6664","Crb1",7.86,15.09,12.87,16.11,12.63,25.97,19.79,15.8,0.31,0.57,0.26112,0.40212
"6665","Crb1-ps",0,0,0,0,0,0,0,0,0,NA,NA,NA
"6666","Crb2",150.84,144.32,133.34,138.06,140.56,201.41,164.91,153.3,0.23,0.26,0.15168,0.26367
"6667","Crb3",3.14,0,2.34,0,5.05,1.4,5.77,2.5,0.26,1.67,0.2252,0.35919
"6668","Crbn",2143.22,1813.91,1636.31,1465.71,1227.16,1247.04,1216.22,1535.7,-0.49,-0.52,1e-05,5e-05
"6669","Crcp",686.65,627.27,569.61,575.24,539.51,613.34,552.45,594.9,-0.1,-0.11,0.32267,0.46943
"6670","Crct1",0,0,1.17,0,0,0,0,0.2,-0.04,-1.32,0.7302,NA
"6671","Creb1",923.91,1036.65,1047.98,1087.2,1465.36,1437.92,1422.36,1203.1,0.48,0.49,1.99754755228152e-08,1.44396831109928e-07
"6672","Creb3",674.08,601.81,595.34,480.9,929.21,882.82,943.29,729.6,0.62,0.65,3.18995703037339e-08,2.24714750806303e-07
"6673","Creb3l1",120.99,99.04,97.08,121.95,166.65,109.48,140.17,122.2,0.29,0.34,0.1022,0.19192
"6674","Creb3l2",177.55,199.97,249.13,280.72,246.61,290.53,230.05,239.2,0.15,0.17,0.33016,0.47771
"6675","Creb3l3",12.57,9.43,2.34,8.05,5.89,13.33,6.6,8.3,0.04,0.11,0.8735,0.92416
"6676","Creb3l4",6.29,3.77,11.7,9.2,3.37,6.32,3.3,6.3,-0.27,-0.82,0.29897,0.44412
"6677","Creb5",28.28,78.29,72.52,96.64,47.98,78.6,44.53,63.8,-0.2,-0.28,0.42083,0.5701
"6678","Crebbp",1150.18,1171.54,1335.71,1041.18,1788.56,1638.62,1609.53,1390.8,0.5,0.51,2.59043789970562e-07,1.60689149254833e-06
"6679","Crebl2",505.95,482.01,451.48,506.21,329.09,393.69,397.43,438,-0.36,-0.38,0.00146,0.00476
"6680","Crebrf",520.09,638.59,608.21,559.13,576.55,621.06,604.4,589.7,0.04,0.04,0.68924,0.79745
"6681","Crebzf",636.37,646.14,566.1,616.66,336.67,372.64,343.01,502.5,-0.78,-0.81,1.25726231593137e-13,1.71311924666351e-12
"6682","Creg1",592.37,530.12,526.33,429.13,559.71,555.8,549.98,534.8,0.09,0.1,0.41322,0.56219
"6683","Creg2",2493.62,2586.45,2292.47,2394.14,3178.16,3355.14,2721.85,2717.4,0.33,0.34,0.00024,0.00092
"6684","Creld1",1060.61,925.35,946.23,881.26,1639.58,1610.55,1768.67,1261.8,0.79,0.81,1.78512591397049e-18,4.21931734666095e-17
"6685","Creld2",202.69,172.62,212.87,195.58,246.61,253.34,297.66,225.9,0.41,0.44,0.00322,0.00969
"6686","Crem",644.22,616.9,535.69,623.56,363.6,428.78,457.63,524.3,-0.51,-0.54,8.96862393327729e-06,4e-05
"6687","Crh",210.55,113.19,154.39,119.65,175.07,158.6,128.63,151.4,0.05,0.06,0.79917,0.87498
"6688","Crhbp",483.95,415.04,375.45,322.13,246.61,422.46,418.87,383.5,-0.12,-0.13,0.47278,0.61765
"6689","Crhr1",689.79,652.74,819.91,638.51,1059.67,867.38,999.36,818.2,0.46,0.48,5e-05,0.00021
"6690","Crhr2",4.71,7.55,15.21,11.5,13.47,11.93,9.89,10.6,0.12,0.26,0.66961,0.78208
"6691","Crim1",857.92,1151.73,1150.91,1228.71,1297.02,1883.54,1410.81,1282.9,0.45,0.48,0.00079,0.00272
"6692","Crip1",69.14,61.31,60.82,29.91,45.45,51.93,29.68,49.7,-0.27,-0.38,0.26411,0.40543
"6693","Crip2",2064.66,2060.1,2053.86,2137.58,3225.3,2557.24,2957.67,2436.6,0.47,0.49,9.7386151384378e-08,6.40602953689854e-07
"6694","Crip3",20.43,16.04,28.07,17.26,1.68,2.11,3.3,12.7,-2.31,-3.11,5.98337799789407e-06,3e-05
"6695","Cript",2569.04,2148.77,2028.13,2193.96,1389.61,1304.58,1325.88,1851.4,-0.72,-0.74,1.11086894429511e-14,1.66870320301222e-13
"6696","Crisp1",0,0.94,0,0,0,0,0,0.1,-0.04,-1.32,0.7302,NA
"6697","Crisp2",0,0.94,0,0,0,0,0,0.1,-0.04,-1.32,0.7302,NA
"6698","Crisp3",0,0,0,0,0,0,0,0,0,NA,NA,NA
"6699","Crisp4",0,0,0,0,0,0,0,0,0,NA,NA,NA
"6700","Crispld1",128.84,71.69,95.91,130,66.49,80,56.89,90,-0.52,-0.64,0.0128,0.03296
"6701","Crispld2",47.14,30.18,35.09,35.66,33.67,57.54,37.1,39.5,0.16,0.23,0.49457,0.63743
"6702","Crk",4107.32,4037.2,3549.81,3656.21,3631.83,3934.8,3825.93,3820.4,-0.01,-0.01,0.85603,0.91314
"6703","Crkl",821.78,931.95,969.62,1042.33,1561.31,1524.24,1532.02,1197.6,0.69,0.71,1.50480511868904e-13,2.02988605372096e-12
"6704","Crlf1",70.71,53.77,50.29,70.18,43.77,33.68,42.88,52.2,-0.48,-0.61,0.03193,0.07272
"6705","Crlf2",377.11,373.54,359.08,418.77,316.47,261.06,274.58,340.1,-0.41,-0.43,0.00088,0.003
"6706","Crlf3",234.12,241.48,232.76,273.81,166.65,167.02,159.14,210.7,-0.54,-0.58,7e-05,3e-04
"6707","Crls1",878.34,862.15,811.72,847.9,521,531.94,563.99,716.7,-0.64,-0.66,3.06984291692961e-12,3.56154649716549e-11
"6708","Crmp1",3472.52,3959.85,3800.11,3978.35,8139.84,6647.13,6942.74,5277.2,0.91,0.93,1.94492771317109e-24,8.90124454036434e-23
"6709","Crnde",4.71,2.83,4.68,2.3,2.53,3.51,3.3,3.4,-0.05,-0.2,0.84107,0.90319
"6710","Crnkl1",380.25,355.61,269.01,268.06,502.48,435.09,392.49,371.9,0.44,0.48,0.00196,0.00622
"6711","Crnn",0,0,0,0,0,0,0,0,0,NA,NA,NA
"6712","Crocc",557.8,588.6,725.17,574.09,652.3,576.85,568.94,606.3,-0.03,-0.03,0.80162,0.87634
"6713","Crocc2",4.71,4.72,1.17,8.05,0,20.35,9.07,6.9,0.26,1.08,0.28397,0.42822
"6714","Crot",1285.3,1161.17,1272.55,1058.44,838.31,810.54,746.22,1024.6,-0.56,-0.58,9.29583937167356e-09,7.09816200835265e-08
"6715","Crp",0,0,0,0,0,0,0,0,0,NA,NA,NA
"6716","Crppa",183.84,189.6,174.27,154.16,175.07,178.25,186.35,177.4,0.03,0.04,0.81933,0.88805
"6717","Crry-ps",3.14,5.66,1.17,0,0.84,0,3.3,2,-0.11,-0.89,0.57003,0.70359
"6718","Crs-ps",0,0,0,0,0,0,0,0,0,NA,NA,NA
"6719","Crtac1",829.63,931.01,936.87,725.95,2064.63,1931.96,1627.67,1292.5,1.09,1.13,3.2174099611539e-22,1.15398484397061e-20
"6720","Crtam",0,0.94,1.17,0,6.73,8.42,49.47,9.5,2.8,5.2,4e-05,0.00017
"6721","Crtap",84.85,55.65,57.31,83.98,90.9,82.11,63.49,74,0.14,0.17,0.50323,0.64542
"6722","Crtc1",4619.56,4805.96,4993.13,5185.19,4470.14,3434.44,3921.58,4490,-0.3,-0.31,0.001,0.00337
"6723","Crtc2",350.39,346.18,311.12,353.2,187.69,228.07,263.86,291.5,-0.55,-0.59,6e-05,0.00026
"6724","Crtc3",246.69,281.09,280.71,327.89,271.86,377.55,307.56,299.1,0.15,0.17,0.2817,0.42587
"6725","Crx",0,0.94,1.17,1.15,0,0,0,0.5,-0.11,-2.52,0.38715,NA
"6726","Crxos",0,0,0,0,0,0,0,0,0,NA,NA,NA
"6727","Cry1",359.82,380.14,373.11,266.91,401.48,449.13,437.84,381.2,0.29,0.32,0.02469,0.05812
"6728","Cry2",2377.34,2425.15,2576.69,2580.52,4202.48,3512.34,3910.03,3083.5,0.62,0.64,6.1935995459976e-14,8.63020244431314e-13
"6729","Cryaa",1.57,7.55,5.85,0,10.94,8.42,2.47,5.3,0.23,0.92,0.3555,0.50472
"6730","Cryab",1890.25,1749.77,1456.18,1978.82,1302.07,997.91,1000.18,1482.2,-0.65,-0.69,5.71761583577666e-08,3.88797876832813e-07
"6731","Cryba1",0,0,0,1.15,0.84,1.4,0,0.5,0.05,1.07,0.70826,NA
"6732","Cryba2",0,2.83,1.17,2.3,0,3.51,0,1.4,-0.04,-0.44,0.813,0.88412
"6733","Cryba4",61.28,31.13,25.73,36.82,23.57,25.97,18.14,31.8,-0.5,-0.76,0.05217,0.11057
"6734","Crybb1",279.69,249.97,260.83,256.56,272.7,241.41,237.47,256.9,-0.06,-0.06,0.65233,0.76885
"6735","Crybb2",0,0,0,0,0,2.11,0,0.3,0.05,1.7,0.64927,NA
"6736","Crybb3",34.57,35.84,36.26,47.17,21.88,21.05,23.91,31.5,-0.57,-0.79,0.02209,0.05284
"6737","Crybg1",23.57,22.64,12.87,26.46,16.83,41.4,17.32,23,0.14,0.25,0.59867,0.72659
"6738","Crybg2",14.14,26.41,18.71,11.5,7.58,12.63,15.67,15.2,-0.3,-0.58,0.27179,0.4146
"6739","Crybg3",98.99,109.42,140.36,112.75,145.61,134.04,112.14,121.9,0.15,0.18,0.37651,0.52487
"6740","Cryga",0,3.77,3.51,2.3,3.37,2.11,3.3,2.6,0.04,0.22,0.84825,0.9083
"6741","Crygb",0,0,1.17,0,0,0,0,0.2,-0.04,-1.32,0.7302,NA
"6742","Crygc",0,0,0,0,0,0,0,0,0,NA,NA,NA
"6743","Crygd",0,0,0,0,0,0,0,0,0,NA,NA,NA
"6744","Cryge",0,0,0,0,0,0,0,0,0,NA,NA,NA
"6745","Crygf",0,0,0,0,0,0,0,0,0,NA,NA,NA
"6746","Crygn",12.57,6.6,9.36,6.9,8.42,20.35,18.14,11.8,0.4,0.85,0.14977,0.26086
"6747","Crygs",4.71,1.89,1.17,2.3,5.05,8.42,2.47,3.7,0.27,1.14,0.26699,0.40861
"6748","Cryl1",414.82,396.17,355.57,322.13,488.17,482.11,474.12,419,0.35,0.37,0.00211,0.00664
"6749","Crym",2556.47,2726.05,1787.19,2665.65,1778.46,2383.9,2102.61,2285.8,-0.21,-0.22,0.11304,0.20877
"6750","Cryz",413.25,324.48,373.11,292.22,322.36,345.27,329,342.8,-0.07,-0.07,0.60459,0.73048
"6751","Cryzl1",1898.1,1629.97,1479.58,1421.99,1061.35,972.65,1099.95,1366.2,-0.6,-0.62,1.78763369999454e-08,1.30051407482559e-07
"6752","Cryzl2",186.98,171.68,217.55,200.18,180.12,171.93,183.05,187.4,-0.11,-0.12,0.4361,0.58487
"6753","Cs",6060.42,6171.82,6311.3,6204.52,7920.16,7162.93,6807.52,6662.7,0.23,0.24,0.00145,0.00473
"6754","Csad",432.1,416.93,352.06,386.56,422.52,417.55,433.72,408.8,0.09,0.1,0.40169,0.55057
"6755","Csdc2",3637.51,3726.86,4184.92,4148.62,3474.43,2917.24,3468.07,3651.1,-0.25,-0.26,0.00558,0.01585
"6756","Csde1",4889.82,4476.76,4245.74,3778.16,4949.05,4900.43,4830.24,4581.5,0.17,0.17,0.05976,0.12343
"6757","Cse1l",1288.45,1195.12,1140.39,999.76,1946.79,1779.68,1798.35,1449.8,0.65,0.67,1.08517589437477e-11,1.18380827829669e-10
"6758","Csf1",193.27,216.01,249.13,258.86,294.59,334.04,319.1,266.4,0.43,0.46,0.00154,0.005
"6759","Csf1r",1461.29,1449.81,1845.67,1646.33,3291.79,2651.27,2862.03,2172.6,0.84,0.87,1.1334412950711e-15,1.92685020162088e-14
"6760","Csf1r-ps",0,0,0,0,0,0,0,0,0,NA,NA,NA
"6761","Csf2",0,0,0,0,0,0,0,0,0,NA,NA,NA
"6762","Csf2ra",216.84,207.52,154.39,219.74,89.22,89.83,84.1,151.7,-1.08,-1.18,1.96237760174111e-10,1.83121262264638e-09
"6763","Csf2rb",25.14,25.47,22.22,36.82,19.36,35.79,24.74,27.1,-0.02,-0.04,0.92578,0.95741
"6764","Csf2rb2",15.71,9.43,18.71,17.26,21.04,14.74,18.96,16.6,0.15,0.26,0.58223,0.71313
"6765","Csf3",0,0,0,0,0,0,0,0,0,NA,NA,NA
"6766","Csf3r",67.56,86.78,81.87,96.64,61.44,67.37,50.3,73.1,-0.4,-0.48,0.0454,0.09814
"6767","Csgalnact1",322.11,401.83,391.82,363.55,507.53,461.76,483.19,418.8,0.36,0.38,0.0014,0.00459
"6768","Csgalnact2",601.8,582,584.81,544.18,314.79,372.64,294.37,470.7,-0.78,-0.82,7.97508290400334e-12,8.82046624313474e-11
"6769","Csk",452.53,583.88,552.06,524.62,814.74,760.01,805.59,641.9,0.56,0.58,1.26888281961504e-07,8.18678181970123e-07
"6770","Csl",3.14,2.83,0,1.15,1.68,2.11,2.47,1.9,0.04,0.25,0.85778,0.91427
"6771","Csmd1",730.64,776.31,843.3,776.57,1329,1327.74,1048.01,975.9,0.63,0.66,2.26384985683784e-09,1.86115741853534e-08
"6772","Csmd2",696.08,732.92,748.56,875.51,776.02,821.77,789.92,777.3,0.06,0.06,0.57069,0.70408
"6773","Csmd2os",0,0,0,0,0,0,0,0,0,NA,NA,NA
"6774","Csmd3",276.54,332.97,284.22,264.61,195.27,305.27,280.35,277,-0.14,-0.15,0.36102,0.51024
"6775","Csn1s1",0,0,0,0,0,0,0,0,0,NA,NA,NA
"6776","Csn1s2a",0,0,0,0,0,0,0,0,0,NA,NA,NA
"6777","Csn1s2b",0,0,0,0,0,0,0,0,0,NA,NA,NA
"6778","Csn2",0,0,0,0,0,0,0,0,0,NA,NA,NA
"6779","Csn3",0,0,0,0,0,0,0,0,0,NA,NA,NA
"6780","Csnk1a1",7095.89,6757.59,6101.94,6259.74,6373.16,6826.78,6611.27,6575.2,0.01,0.01,0.88436,0.9309
"6781","Csnk1d",1744.12,1984.64,1956.78,2105.37,2970.27,3079.35,3068.16,2415.5,0.63,0.64,1.51310764932755e-14,2.24429032237462e-13
"6782","Csnk1e",1704.84,1905.41,1910,2005.28,2355.01,2315.83,2158.68,2050.7,0.27,0.27,0.00117,0.0039
"6783","Csnk1g1",510.67,548.98,583.64,620.11,897.23,777.56,838.57,682.4,0.54,0.56,1.44791418838195e-07,9.28905900141707e-07
"6784","Csnk1g2",4501.71,4399.41,4521.77,5096.61,3828.78,2822.5,3290.79,4065.9,-0.46,-0.48,4.00625221409609e-06,2e-05
"6785","Csnk1g3",1275.88,1450.75,1354.43,1415.09,1583.19,1724.94,1699.41,1500.5,0.27,0.28,0.00097,0.00328
"6786","Csnk2a1",1891.82,1955.4,1918.19,1824.65,2493.04,2618.29,2678.98,2197.2,0.44,0.45,1.08553075006961e-09,9.30035804789367e-09
"6787","Csnk2a1-ps",0,0,0,0,0,0,0,0,0,NA,NA,NA
"6788","Csnk2a1-ps1",0,0,0,0,0,0,0,0,0,NA,NA,NA
"6789","Csnk2a2",1027.62,1135.7,1178.98,1112.51,1372.77,1406.34,1308.57,1220.4,0.28,0.29,0.00081,0.0028
"6790","Csnk2a3",80.14,62.26,71.35,55.22,106.89,91.23,82.46,78.5,0.41,0.49,0.0388,0.08595
"6791","Csnk2b",1530.42,1401.7,1237.46,1423.14,2208.55,1823.89,2053.14,1668.3,0.52,0.54,8.68790235292315e-08,5.75703729233358e-07
"6792","Csnka2ip",0,1.89,1.17,1.15,1.68,1.4,3.3,1.5,0.12,0.93,0.53738,0.67529
"6793","Cspg4",249.83,303.73,346.21,304.88,799.59,654.05,673.66,476,1.17,1.23,1.88568542207771e-20,5.53031768140233e-19
"6794","Cspg5",8841.58,8214,9213.14,7480.39,10705.26,9445.77,9463.4,9051.9,0.22,0.23,0.01153,0.03012
"6795","Cspp1",296.97,324.48,308.78,362.4,127.93,176.14,126.16,246.1,-1.09,-1.17,6.5482193279655e-13,8.23051987368072e-12
"6796","Csrnp1",125.7,118.85,175.44,203.63,366.13,263.86,374.35,232.6,0.98,1.1,5.61375080857638e-08,3.82096660655739e-07
"6797","Csrnp2",502.81,521.63,566.1,508.51,971.29,961.42,965.55,713.9,0.85,0.88,2.16233999784871e-20,6.31590799371636e-19
"6798","Csrnp3",1643.56,1802.59,1961.46,1798.19,2926.5,2867.42,2386.26,2198,0.58,0.6,1.10663098056091e-09,9.47303487551373e-09
"6799","Csrp1",7378.72,6786.83,6803.71,6739.49,4480.24,3257.6,3975.17,5631.7,-0.8,-0.83,5.52550159442207e-16,9.81117894311055e-15
"6800","Csrp2",226.26,139.6,138.02,173.72,137.19,169.13,143.47,161.1,-0.14,-0.16,0.41396,0.56291
"6801","Csrp3",1.57,0,0,0,0,0,0,0.2,-0.04,-1.32,0.7302,NA
"6802","Cst10",0,0,0,0,0,0,0,0,0,NA,NA,NA
"6803","Cst11",0,0,0,0,0,0,0,0,0,NA,NA,NA
"6804","Cst12",0,0.94,0,0,0,0,0,0.1,-0.04,-1.32,0.7302,NA
"6805","Cst13",0,0,0,0,0,0,0,0,0,NA,NA,NA
"6806","Cst3",32790.99,30434.61,33529.66,30714.26,29181.71,21382.81,26834.28,29266.9,-0.29,-0.3,0.00245,0.00758
"6807","Cst6",254.55,175.45,253.81,181.78,144.77,93.33,128.63,176,-0.72,-0.82,7e-05,0.00029
"6808","Cst7",3.14,4.72,1.17,4.6,4.21,3.51,6.6,4,0.12,0.46,0.62437,0.74569
"6809","Cst8",0,0,0,0,0,0,0,0,0,NA,NA,NA
"6810","Cst9",0,0,0,0,0,0,0,0,0,NA,NA,NA
"6811","Csta1",0,0,0,0,0,0,0,0,0,NA,NA,NA
"6812","Csta2",1.57,0,3.51,0,0,0.7,0,0.8,-0.12,-2.15,0.38928,NA
"6813","Csta3",4.71,0,0,0,0,0,0,0.7,-0.11,-2.97,0.35507,NA
"6814","Cstad",31.43,32.07,26.9,37.97,13.47,13.33,16.49,24.5,-0.78,-1.16,0.00357,0.01064
"6815","Cstb",826.49,737.64,698.27,767.37,426.73,408.43,472.47,619.6,-0.77,-0.8,1.86550021204918e-13,2.48687214415164e-12
"6816","Cstdc1",0,0,0,0,0,0,0,0,0,NA,NA,NA
"6817","Cstdc2",0,0,0,0,0,0,0,0,0,NA,NA,NA
"6818","Cstdc3",0,0,0,0,0,0,0,0,0,NA,NA,NA
"6819","Cstdc4",1.57,1.89,0,1.15,0,1.4,0,0.9,-0.09,-1.24,0.57761,NA
"6820","Cstdc5",0,0,2.34,0,0.84,0,0,0.5,-0.04,-1.13,0.73319,NA
"6821","Cstdc6",0,0,0,0,0,0,0,0,0,NA,NA,NA
"6822","Cstdc7",0,0,0,0,0,0,0,0,0,NA,NA,NA
"6823","Cstf1",375.54,413.15,349.72,399.22,606.01,557.9,583.78,469.3,0.57,0.6,9.52449179746097e-08,6.27092074484022e-07
"6824","Cstf2",1775.54,1878.05,1947.43,1901.74,1465.36,1628.8,1541.92,1734.1,-0.27,-0.28,0.00052,0.00188
"6825","Cstf2t",1882.39,1934.65,1938.07,1570.4,2734.6,2515.13,2800.18,2196.5,0.53,0.55,6.76922601399448e-09,5.24882863157069e-08
"6826","Cstf3",395.96,529.17,554.4,491.25,555.51,530.54,554.92,516,0.14,0.15,0.24418,0.38252
"6827","Cstl1",7.86,4.72,1.17,4.6,0.84,2.81,1.65,3.4,-0.29,-1.33,0.22677,0.36108
"6828","Ct55",11,19.81,8.19,5.75,1.68,7.02,2.47,8,-0.56,-1.57,0.04583,0.09889
"6829","Ctag2",0,0,0,0,0,0,0,0,0,NA,NA,NA
"6830","Ctag2l1",0,0,0,0,0,0,0,0,0,NA,NA,NA
"6831","Ctag2l2",0,0,0,0,0,0,0,0,0,NA,NA,NA
"6832","Ctbp1",4284.87,4334.33,4409.49,4225.7,4531.58,3884.28,4462.49,4304.7,-0.01,-0.01,0.9256,0.95736
"6833","Ctbp2",311.11,310.34,341.53,320.98,257.55,303.86,312.51,308.3,-0.13,-0.14,0.2855,0.43009
"6834","Ctbs",157.13,178.28,169.6,174.87,134.67,170.53,168.21,164.8,-0.1,-0.11,0.51317,0.65398
"6835","Ctc1",889.34,787.63,900.61,775.42,939.31,805.63,912.78,858.7,0.08,0.08,0.43591,0.58465
"6836","Ctcf",1189.46,1115.89,1257.35,1073.39,1451.89,1385.29,1395.15,1266.9,0.28,0.28,0.00128,0.00424
"6837","Ctcfl",0,0,0,0,0,0,1.65,0.2,0.04,1.32,0.72553,NA
"6838","Ctcflos",0,0,0,0,0,0,0,0,0,NA,NA,NA
"6839","Ctdnep1",1335.59,1469.62,1520.51,1526.68,2028.44,1537.57,1771.14,1598.5,0.27,0.28,0.00781,0.02136
"6840","Ctdp1",193.27,231.1,224.57,242.75,342.56,390.18,351.26,282.2,0.65,0.69,3.92021177400717e-07,2.35913135121436e-06
"6841","Ctdsp1",532.66,520.69,610.54,699.49,492.38,445.62,432.89,533.5,-0.35,-0.37,0.00367,0.01091
"6842","Ctdsp2",1931.1,2019.54,2045.68,2429.81,1688.4,1757.22,1691.16,1937.6,-0.29,-0.3,0.00149,0.00484
"6843","Ctdsp2-ps",3.14,2.83,7.02,9.2,1.68,3.51,4.95,4.6,-0.2,-0.72,0.43541,0.58426
"6844","Ctdspl",457.24,545.21,538.03,559.13,668.29,594.4,588.73,564.4,0.22,0.23,0.04105,0.09017
"6845","Ctdspl2",622.23,623.5,617.56,530.37,653.98,651.24,672.84,624.5,0.13,0.14,0.1735,0.29331
"6846","Ctf1",26.71,29.24,24.56,23.01,9.26,13.33,18.14,20.6,-0.58,-0.93,0.03309,0.07494
"6847","Ctf2",0,0,0,0,0,0,0,0,0,NA,NA,NA
"6848","Cth",246.69,198.09,250.3,202.48,148.98,155.09,206.96,201.2,-0.36,-0.39,0.02407,0.05688
"6849","Cthrc1",301.69,222.61,247.96,222.04,111.94,166.32,146.77,202.8,-0.72,-0.8,9.94716891658677e-06,5e-05
"6850","Ctif",1483.29,1563.94,1462.03,1615.27,1837.38,1612.66,1653.23,1604,0.15,0.15,0.08011,0.15686
"6851","Ctla2a",190.12,171.68,201.18,217.44,99.32,101.76,117.91,157.1,-0.8,-0.88,4.34964087152403e-07,2.59509711117e-06
"6852","Ctla2b",15.71,16.98,16.37,5.75,1.68,4.91,6.6,9.7,-0.68,-1.63,0.01987,0.04831
"6853","Ctla4",3.14,1.89,1.17,1.15,2.53,0,0,1.4,-0.12,-1.14,0.51484,0.65539
"6854","Ctnna1",986.76,1065.9,1300.62,1166.58,1317.22,1357.22,1360.51,1222.1,0.24,0.25,0.01537,0.0387
"6855","Ctnna2",7099.03,5941.66,6099.6,6010.09,6247.75,5454.83,5446.18,6042.7,-0.13,-0.14,0.12766,0.22959
"6856","Ctnna3",25.14,19.81,14.04,19.56,23.57,16.14,17.32,19.4,-0.02,-0.04,0.92791,0.95873
"6857","Ctnnal1",350.39,370.71,326.33,409.57,103.53,183.86,132.75,268.2,-1.27,-1.37,4.38618678032235e-14,6.20397914938507e-13
"6858","Ctnnb1",23009.79,20757.6,20691.85,21128.49,18415.85,17209.41,16623.01,19690.9,-0.29,-0.3,4e-05,0.00019
"6859","Ctnnbip1",1989.24,2042.18,2256.21,2190.51,1766.68,1627.4,1583.97,1922.3,-0.34,-0.35,3e-05,0.00013
"6860","Ctnnbl1",411.67,376.36,431.59,372.75,584.96,491.94,544.21,459.1,0.42,0.44,0.00018,7e-04
"6861","Ctnnd1",279.69,262.23,346.21,324.43,467.97,444.92,432.07,365.4,0.53,0.56,2e-05,9e-05
"6862","Ctnnd2",6842.91,6836.82,6829.44,6820.02,8275.35,6118.7,6841.32,6937.8,0.05,0.05,0.6007,0.72803
"6863","Ctns",224.69,234.87,235.09,219.74,258.39,265.97,217.68,236.6,0.11,0.11,0.42482,0.57384
"6864","Ctps",1103.04,1038.54,946.23,1038.88,1357.62,1342.48,1302.8,1161.4,0.36,0.37,2e-05,9e-05
"6865","Ctps2",648.94,586.71,557.91,490.1,443.56,400.01,437.84,509.3,-0.4,-0.42,0.00056,0.00201
"6866","Ctr9",738.5,852.72,851.49,793.83,1514.17,1486.34,1402.57,1091.4,0.83,0.86,5.06532092999173e-21,1.59631663694301e-19
"6867","Ctrb1",0,0,0,0,0,0,0,0,0,NA,NA,NA
"6868","Ctrc",0,0,0,0,0,0,0,0,0,NA,NA,NA
"6869","Ctrcos",0,0,0,0,0,0,0,0,0,NA,NA,NA
"6870","Ctrl",4.71,4.72,15.21,6.9,2.53,2.81,0.82,5.4,-0.57,-1.93,0.03842,0.08522
"6871","Cts3",0,0,0,0,0,0,0,0,0,NA,NA,NA
"6872","Cts6",0,0,0,0,0,0,0,0,0,NA,NA,NA
"6873","Cts7",0,0,0,0,0,0,0,0,0,NA,NA,NA
"6874","Cts7-ps",0,0,0,0,0,0,0,0,0,NA,NA,NA
