"","gene","CTX-M-DSVA1","CTX-M-DSVA2","CTX-M-DSVA3","CTX-M-DSVA4","CTX-M-XDP1","CTX-M-XDP2","CTX-M-XDP3","baseMean","log2FC","log2FCunshrunk","pvalue","padj"
"32371","Gm48513",0,0,0,0,0,0,0,0,0,NA,NA,NA
"32372","Gm48514",0,0,0,0,0,0,0,0,0,NA,NA,NA
"32373","Gm48515",0,0,0,0,0,0,0,0,0,NA,NA,NA
"32374","Gm48516",0,0,0,0,0,0,0,0,0,NA,NA,NA
"32375","Gm48517",0,0,0,0,0,0,0,0,0,NA,NA,NA
"32376","Gm48518",0,0,0,0,0,0,0,0,0,NA,NA,NA
"32377","Gm48519",0,0,0,0,0,0,0,0,0,NA,NA,NA
"32378","Gm4852",3.14,0,0,0,0.84,0,0,0.6,-0.05,-1.26,0.68448,NA
"32379","Gm48520",0,0,0,0,0,0,0,0,0,NA,NA,NA
"32380","Gm48521",0,0,0,0,0,0,0,0,0,NA,NA,NA
"32381","Gm48522",0,0,0,0,0,0,0,0,0,NA,NA,NA
"32382","Gm48523",0,0,0,0,0,0,0,0,0,NA,NA,NA
"32383","Gm48524",0,0,0,0,0,0.7,0,0.1,0.01,0.37,0.92344,NA
"32384","Gm48525",0,0,0,0,0,0,0,0,0,NA,NA,NA
"32385","Gm48526",0,0,0,0,0,0,0,0,0,NA,NA,NA
"32386","Gm48527",0,0,0,0,0,0,0,0,0,NA,NA,NA
"32387","Gm48528",0,0,0,0,0,0,0,0,0,NA,NA,NA
"32388","Gm48529",14.14,24.53,21.05,16.11,18.52,14.74,39.58,21.2,0.19,0.34,0.4799,0.62378
"32389","Gm4853",3.14,0.94,2.34,3.45,0.84,3.51,0.82,2.2,-0.08,-0.46,0.7211,0.82135
"32390","Gm48530",0,0,0,0,0,0,0,0,0,NA,NA,NA
"32391","Gm48531",0,0,0,0,0,0,0,0,0,NA,NA,NA
"32392","Gm48532",0,0,0,0,0,0,0,0,0,NA,NA,NA
"32393","Gm48533",0,0,0,0,0,0,0,0,0,NA,NA,NA
"32394","Gm48534",0,0,0,0,0,0,0,0,0,NA,NA,NA
"32395","Gm48535",0,0,0,0,0,0,0,0,0,NA,NA,NA
"32396","Gm48536",0,0.94,2.34,0,0,1.4,1.65,0.9,0.02,0.28,0.89496,NA
"32397","Gm48537",0,0.94,0,0,0,0.7,0,0.2,-0.01,-0.35,0.926,NA
"32398","Gm48538",9.43,10.38,2.34,5.75,12.63,2.11,3.3,6.6,-0.07,-0.23,0.79174,0.8699
"32399","Gm48539",0,0,0,0,0,0,0,0,0,NA,NA,NA
"32400","Gm4854",0,0,0,0,0,0,0,0,0,NA,NA,NA
"32401","Gm48540",0,0,0,0,0,0,0,0,0,NA,NA,NA
"32402","Gm48541",0,0,0,0,0,0,0,0,0,NA,NA,NA
"32403","Gm48542",0,0,0,0,0,0,0,0,0,NA,NA,NA
"32404","Gm48543",0,0,0,0,0,0,0,0,0,NA,NA,NA
"32405","Gm48544",0,0,0,0,0,0,0,0,0,NA,NA,NA
"32406","Gm48545",0,0,0,0,1.68,0,0,0.2,0.04,1.35,0.72021,NA
"32407","Gm48546",0,0,0,0,0,0,0,0,0,NA,NA,NA
"32408","Gm48547",0,0,1.17,0,0,0,0.82,0.3,-0.01,-0.35,0.926,NA
"32409","Gm48548",0,0,0,0,0,0,0,0,0,NA,NA,NA
"32410","Gm48549",0,0,0,0,0,0,0,0,0,NA,NA,NA
"32411","Gm4855",0,0,0,0,0,1.4,0,0.2,0.03,1.12,0.76724,NA
"32412","Gm48550",1.57,0,0,1.15,0,0,0,0.4,-0.07,-2.12,0.54112,NA
"32413","Gm48551",9.43,8.49,8.19,14.96,6.73,7.02,9.89,9.2,-0.17,-0.38,0.5411,0.67877
"32414","Gm48552",3.14,4.72,7.02,5.75,0,0.7,0,3,-0.78,-4.2,0.00625,0.01752
"32415","Gm48553",0,0,0,0,0,0,0,0,0,NA,NA,NA
"32416","Gm48554",0,0,0,0,0,0,0,0,0,NA,NA,NA
"32417","Gm48555",0,0,0,0,0,0,0,0,0,NA,NA,NA
"32418","Gm48556",0,0,0,0,0,0.7,0,0.1,0.01,0.37,0.92344,NA
"32419","Gm48557",1.57,8.49,4.68,5.75,6.73,6.32,3.3,5.3,0.01,0.05,0.95516,0.97432
"32420","Gm48558",0,1.89,0,1.15,0,3.51,0.82,1.1,0.07,0.87,0.67091,NA
"32421","Gm48559",0,0,0,0,0,0,0,0,0,NA,NA,NA
"32422","Gm4856",0,0,0,0,0,0,0,0,0,NA,NA,NA
"32423","Gm48560",0,0,0,0,0,0,0,0,0,NA,NA,NA
"32424","Gm48561",0,0,0,0,0,0,0,0,0,NA,NA,NA
"32425","Gm48562",0,0.94,2.34,0,0,0.7,0,0.6,-0.07,-1.57,0.57143,NA
"32426","Gm48563",0,0,0,0,0,0,0,0,0,NA,NA,NA
"32427","Gm48564",1.57,0,0,0,0,0.7,0,0.3,-0.01,-0.35,0.92366,NA
"32428","Gm48565",0,0,0,0,0,0,0,0,0,NA,NA,NA
"32429","Gm48566",0,0,0,0,0,0,0,0,0,NA,NA,NA
"32430","Gm48567",0,0,0,0,0,0,0,0,0,NA,NA,NA
"32431","Gm48568",0,0,0,0,0,0,0,0,0,NA,NA,NA
"32432","Gm48569",0,0,0,0,0,0,0,0,0,NA,NA,NA
"32433","Gm4857",0,0,0,0,0,0,0,0,0,NA,NA,NA
"32434","Gm48570",0,0,0,0,0,0.7,0,0.1,0.01,0.37,0.92344,NA
"32435","Gm48571",0,0,0,0,0,0,0,0,0,NA,NA,NA
"32436","Gm48572",0,0,0,0,0,0,0,0,0,NA,NA,NA
"32437","Gm48573",0,0,0,0,0,0,0,0,0,NA,NA,NA
"32438","Gm48574",0,0.94,0,1.15,0,0,0,0.3,-0.05,-1.99,0.60162,NA
"32439","Gm48575",0,0,0,0,0,0,0,0,0,NA,NA,NA
"32440","Gm48576",0,0,0,0,0,0,0,0,0,NA,NA,NA
"32441","Gm48577",0,0,0,0,0,0,0,0,0,NA,NA,NA
"32442","Gm48578",0,0,0,0,0,0,0,0,0,NA,NA,NA
"32443","Gm48579",0,0,0,0,0,0,0,0,0,NA,NA,NA
"32444","Gm48580",0,0,0,0,0,0,0,0,0,NA,NA,NA
"32445","Gm48581",0,0,0,0,0,0,3.3,0.5,0.07,2.33,0.51495,NA
"32446","Gm48582",1.57,0,0,1.15,0,0,0,0.4,-0.07,-2.12,0.54112,NA
"32447","Gm48583",3.14,0.94,3.51,0,0,0,0,1.1,-0.28,-3.69,0.09851,NA
"32448","Gm48584",0,0,0,0,0,0,0,0,0,NA,NA,NA
"32449","Gm48585",0,0,0,0,0,0,0,0,0,NA,NA,NA
"32450","Gm48586",0,0,0,0,0,0,0,0,0,NA,NA,NA
"32451","Gm48587",0,0,0,0,0,0,0,0,0,NA,NA,NA
"32452","Gm48588",0,0,0,0,0,0,0,0,0,NA,NA,NA
"32453","Gm48589",0,0,0,0,0,0,0,0,0,NA,NA,NA
"32454","Gm4859",0,0.94,0,0,0,0.7,0.82,0.4,0.02,0.5,0.87524,NA
"32455","Gm48590",0,0,0,0,0,0,0,0,0,NA,NA,NA
"32456","Gm48591",0,0,0,0,0,0,0,0,0,NA,NA,NA
"32457","Gm48592",0,0,0,0,0,0,0,0,0,NA,NA,NA
"32458","Gm48593",3.14,4.72,4.68,8.05,2.53,0.7,0,3.4,-0.47,-2.29,0.05644,0.11771
"32459","Gm48594",0,0,0,0,0,0,0,0,0,NA,NA,NA
"32460","Gm48595",0,0,0,0,0,0,0,0,0,NA,NA,NA
"32461","Gm48596",0,0,1.17,0,0,0,0.82,0.3,-0.01,-0.35,0.926,NA
"32462","Gm48597",0,0,1.17,0,0,0,0,0.2,-0.04,-1.32,0.7302,NA
"32463","Gm48598",0,0,0,0,0,0,0,0,0,NA,NA,NA
"32464","Gm48599",0,0,0,0,0,0,0,0,0,NA,NA,NA
"32465","Gm4860",0,0,0,0,0,0,0,0,0,NA,NA,NA
"32466","Gm48600",0,0.94,0,0,1.68,0.7,0,0.5,0.05,1.14,0.69151,NA
"32467","Gm48601",0,0,0,0,0,0,0,0,0,NA,NA,NA
"32468","Gm48602",0,0,0,0,0,0,0,0,0,NA,NA,NA
"32469","Gm48603",0,0,1.17,0,0,0,0,0.2,-0.04,-1.32,0.7302,NA
"32470","Gm48604",47.14,71.69,93.57,73.63,70.7,77.9,64.32,71.3,-0.02,-0.02,0.93821,0.96452
"32471","Gm48605",1.57,1.89,1.17,4.6,0.84,0.7,0.82,1.7,-0.21,-1.56,0.30061,0.44578
"32472","Gm48606",0,0,1.17,2.3,0,0,0,0.5,-0.1,-2.59,0.41204,NA
"32473","Gm48607",0,0,0,0,0,0,0,0,0,NA,NA,NA
"32474","Gm48608",0,0,0,0,0,0,0,0,0,NA,NA,NA
"32475","Gm48609",1.57,0,0,0,0,0,0,0.2,-0.04,-1.32,0.7302,NA
"32476","Gm4861",1.57,3.77,0,2.3,0,0,0,1.1,-0.29,-3.74,0.09089,NA
"32477","Gm48610",0,0,0,2.3,0,0,0,0.3,-0.06,-2.08,0.58518,NA
"32478","Gm48611",0,0,0,0,0,0,0,0,0,NA,NA,NA
"32479","Gm48612",0,0,0,0,0,0,0,0,0,NA,NA,NA
