"","gene","CTX-M-DSVA1","CTX-M-DSVA2","CTX-M-DSVA3","CTX-M-DSVA4","CTX-M-XDP1","CTX-M-XDP2","CTX-M-XDP3"
"4989","C230096K16Rik",3.14,7.55,7.02,9.2,4.21,0.7,9.89
"4990","C230099D08Rik",0,0,0,0,0,0,0.82
"4991","C2cd2",204.27,261.29,257.32,232.4,334.14,297.55,282
"4992","C2cd2l",2297.21,2237.44,2262.06,2219.27,4495.39,3372.69,3840.77
"4993","C2cd3",392.82,390.51,418.73,472.85,568.13,529.83,574.71
"4994","C2cd4a",0,0,0,0,0,0,4.95
"4995","C2cd4b",9.43,11.32,9.36,13.81,25.25,16.84,27.21
"4996","C2cd4c",303.26,249.97,273.69,224.34,467.97,338.95,413.93
"4997","C2cd4d",0,4.72,1.17,8.05,7.58,6.32,3.3
"4998","C2cd5",743.21,908.37,873.71,900.82,522.68,675.1,559.05
"4999","C2cd6",0,0,0,1.15,0,0,0
"5000","C3",3.14,2.83,1.17,2.3,5.89,2.81,6.6
"5001","C330002G04Rik",0,1.89,3.51,1.15,0.84,0,1.65
"5002","C330004P14Rik",0,0,0,0,0,0,0
"5003","C330007P06Rik",909.77,1024.39,918.16,1022.77,842.52,795.8,790.75
"5004","C330008A17Rik",3.14,2.83,2.34,1.15,0,0,2.47
"5005","C330011F03Rik",0,0,0,0,0,0.7,1.65
"5006","C330011M18Rik",73.85,69.8,88.89,64.43,73.23,63.86,69.26
"5007","C330013E15Rik",26.71,31.13,16.37,35.66,22.73,39.3,18.14
"5008","C330018A13Rik",3.14,7.55,1.17,11.5,5.05,7.72,2.47
"5009","C330018D20Rik",751.07,631.05,591.83,543.02,297.95,265.27,279.52
"5010","C330019F10Rik",0,0,1.17,0,0,0,0
"5011","C330022B21Rik",0,0,0,0,0,0,0
"5012","C330022C24Rik",1.57,0,1.17,0,0,2.11,0
"5013","C330024C12Rik",0,0,0,0,0,0,0
"5014","C330024D21Rik",0,0,0,0,0,0,0
"5015","C3ar1",18.86,28.3,45.62,25.31,41.24,86.32,70.91
"5016","C430002N11Rik",0,0.94,1.17,0,0,0,0
"5017","C430014B12Rik",7.86,2.83,4.68,6.9,1.68,2.11,1.65
"5018","C430019N01Rik",0,0,0,0,0,0,0
"5019","C430039J01Rik",0,0,0,0,0,0,0
"5020","C430039J16Rik",0,0,0,0,0,0,0
"5021","C430042M11Rik",3.14,1.89,3.51,1.15,2.53,2.81,4.95
"5022","C430049B03Rik",25.14,29.24,32.75,28.76,21.04,24.56,18.14
"5023","C4a",7.86,9.43,8.19,4.6,0,1.4,2.47
"5024","C4b",81.71,130.17,183.63,178.32,39.56,324.22,111.31
"5025","C4bp",0,1.89,2.34,0,1.68,0.7,0.82
"5026","C4bp-ps1",0,0,0,0,0,0.7,0
"5027","C530005A16Rik",102.13,92.44,115.79,88.59,128.78,108.77,116.26
"5028","C530008M17Rik",1076.33,1313.03,1550.92,1371.37,1835.69,1674.41,1647.46
"5029","C530025M09Rik",25.14,26.41,26.9,27.61,31.14,29.47,32.98
"5030","C530043A13Rik",0,0,0,2.3,0.84,0,0
"5031","C530043K16Rik",4.71,0.94,0,0,0,0,0
"5032","C530044C16Rik",7.86,10.38,9.36,23.01,3.37,13.33,8.25
"5033","C5ar1",6.29,7.55,11.7,6.9,11.78,29.47,13.19
"5034","C5ar2",15.71,29.24,21.05,11.5,13.47,34.39,18.14
"5035","C6",0,0,0,0,0,0,0
"5036","C630004L07Rik",3.14,2.83,4.68,0,0.84,2.11,0.82
"5037","C630004M23Rik",1.57,3.77,0,4.6,0,3.51,5.77
"5038","C630028M04Rik",4.71,0,0,0,0,0,0
"5039","C630031E19Rik",4.71,3.77,10.53,10.35,4.21,1.4,0
"5040","C630043F03Rik",108.42,132.06,84.21,125.4,69.86,51.23,53.6
"5041","C630044B11Rik",0,0,1.17,0,0,0,0
"5042","C630050I24Rik",0,0,0,0,0,0,0
"5043","C7",17.28,20.75,12.87,16.11,4.21,4.91,6.6
"5044","C730002L08Rik",175.98,199.03,170.77,188.68,57.23,77.9,51.12
"5045","C730027H18Rik",0,0,0,0,0,0,0
"5046","C730034F03Rik",11,8.49,8.19,11.5,2.53,5.61,4.12
"5047","C730036E19Rik",0,0,0,0,0,0,0
"5048","C730045M19Rik",0,0,0,0,0,0,0.82
"5049","C77080",925.48,776.31,761.43,847.9,736.47,624.57,680.26
"5050","C78197",7.86,4.72,9.36,3.45,4.21,11.23,6.6
"5051","C78283",0,0,0,0,0,0,0
"5052","C78334",0,0,0,0,0,0,0
"5053","C78859",307.97,280.15,313.46,341.69,16.83,24.56,21.44
"5054","C79130",7.86,7.55,12.87,17.26,20.2,28.77,21.44
"5055","C79798",0,0,0,0,0,0,0
"5056","C820005J03Rik",0,0.94,2.34,2.3,0.84,0,0
"5057","C86187",0,0,0,0,0,0,0
"5058","C87114",0,0,0,0,0,0,0
"5059","C87198",0,0,0,0,0,0,0
"5060","C87414",0,0,0,0,0,0,0
"5061","C87436",210.55,227.33,256.15,228.94,351.82,300.36,300.96
"5062","C87487",0,0.94,0,0,0,0,0
"5063","C87499",0,0,0,0,0,0,0
"5064","C87977",0,0,0,0,0,0,0
"5065","C8a",3.14,0,0,0,0,0,0
"5066","C8b",0,2.83,0,1.15,0,0.7,0.82
"5067","C8g",34.57,24.53,23.39,17.26,18.52,22.46,16.49
"5068","C9",0,0,0,0,0,0,0
"5069","C920006O11Rik",50.28,63.2,67.84,50.62,29.46,40.7,33.81
"5070","C920009B18Rik",0,0,1.17,0,0,0.7,0
"5071","C920021L13Rik",26.71,34.9,26.9,41.42,26.93,21.75,19.79
"5072","C9orf72",642.65,728.2,670.2,547.63,499.95,568.43,554.92
"5073","CAAA01066123.1",0,0,0,0,0,0,0
"5074","CAAA01077340.1",0,6.6,0,8.05,3.37,4.91,3.3
"5075","CJ186046Rik",1.57,0.94,2.34,2.3,0.84,0.7,0
"5076","CK137956",65.99,46.22,37.43,63.28,72.38,52.63,62.67
"5077","CN725425",42.42,16.04,11.7,10.35,0.84,4.21,1.65
"5078","CR974473.1",0,0,0,0,0,0,0
"5079","CT010467.1",83948.64,41036.97,35135.55,96850.51,61427.95,38790.82,54297.69
"5080","CT010467.2",14.14,4.72,0,8.05,0.84,0.7,3.3
"5081","CT010569.1",0,0,0,0,0,0,0
"5082","CT025680.1",0,0,0,0,0,0,0
"5083","CT025683.1",0,1.89,4.68,0,0,0,0
"5084","CT030159.1",0,0,0,0,0,0,0
"5085","CT030740.1",23.57,8.49,16.37,23.01,26.09,8.42,22.26
"5086","CT485612.1",0,0,0,0,0,0,0
"5087","CT573014.1",0,0,0,0,0,0,0
"5088","CT868690.1",0,3.77,0,1.15,0,0.7,0.82
"5089","Caap1",169.7,171.68,210.53,167.97,144.77,152.28,131.93
"5090","Cab39",3450.53,3571.22,3646.89,3352.49,4818.59,4821.13,4652.96
"5091","Cab39l",791.92,787.63,690.08,709.84,615.26,581.76,686.03
"5092","Cabcoco1",26.71,21.7,19.88,24.16,40.4,37.9,48.65
"5093","Cabin1",1132.89,1271.53,1259.69,1243.66,1687.56,1588.1,1530.37
"5094","Cables1",364.54,427.3,407.03,388.86,593.38,501.76,526.07
"5095","Cables2",557.8,591.43,523.99,614.35,763.4,661.77,690.98
"5096","Cabp1",1550.85,1331.9,1225.77,1499.07,1921.54,1414.06,1497.39
"5097","Cabp2",1.57,0,0,0,0,0,8.25
"5098","Cabp4",0,2.83,0,2.3,2.53,2.11,0
"5099","Cabp5",1.57,0.94,2.34,6.9,0.84,0,0.82
"5100","Cabp7",383.39,987.6,445.63,1155.08,240.72,336.85,431.24
"5101","Cabs1",0,0,0,0,0,0,0
"5102","Cabyr",9.43,4.72,9.36,8.05,9.26,8.42,6.6
"5103","Cacfd1",1106.18,1108.34,1101.79,1128.62,1089.13,1058.97,1056.25
"5104","Cachd1",213.69,266.95,245.62,248.5,345.93,351.58,286.12
"5105","Cacna1a",3302.83,3256.17,3263.26,3401.96,4612.38,3837.26,4168.12
"5106","Cacna1b",1464.43,1494.14,1680.75,1560.05,2969.43,2696.89,2546.22
"5107","Cacna1c",925.48,990.43,1156.76,968.7,1781.83,1604.24,1506.46
"5108","Cacna1d",667.79,638.59,770.78,721.35,745.72,674.4,625.01
"5109","Cacna1e",2317.63,2687.38,3051.55,2658.75,5004.6,4372.7,4407.24
"5110","Cacna1f",3.14,0,4.68,2.3,0.84,0,0.82
"5111","Cacna1g",1517.85,1372.46,1488.93,1517.48,1589.08,1521.43,2213.93
"5112","Cacna1h",637.94,774.42,662.01,809.94,580.76,661.77,558.22
"5113","Cacna1i",3283.97,2930.74,3455.07,3243.19,4497.07,3960.07,3983.42
"5114","Cacna1s",14.14,28.3,32.75,36.82,26.09,27.37,20.61
"5115","Cacna2d1",3815.06,3619.33,3810.64,2961.32,6730.87,5746.06,6032.44
"5116","Cacna2d2",689.79,702.74,719.32,721.35,1063.04,1028.09,1344.02
"5117","Cacna2d3",1616.84,1762.03,1979.01,1625.62,3281.69,3074.44,2655.89
"5118","Cacna2d4",95.85,96.21,78.36,83.98,75.75,82.11,69.26
"5119","Cacnb1",1668.7,1850.7,1645.66,1948.91,3609.1,3141.11,3427.67
"5120","Cacnb2",691.36,716.89,748.56,717.9,962.88,1101.77,1000.18
"5121","Cacnb3",6808.35,6143.52,6299.6,6722.23,6833.56,4757.27,5782.6
"5122","Cacnb4",6126.41,6275.58,5582.62,6495.59,5782.31,7061.87,6357.31
"5123","Cacng1",1.57,0,0,1.15,0,0,1.65
"5124","Cacng2",2880.15,2642.1,2873.77,2776.1,3048.55,2844.26,3141.55
"5125","Cacng3",1992.38,1905.41,2101.82,1749.87,4619.11,3610.59,3799.54
"5126","Cacng4",1092.04,1214.93,1408.23,1211.45,1182.55,994.4,1085.94
"5127","Cacng5",95.85,125.45,143.86,151.86,175.07,197.2,314.16
"5128","Cacng6",18.86,17.92,25.73,20.71,47.13,29.47,19.79
"5129","Cacng7",4808.11,4840.86,4754.53,4962,3727.78,2980.4,3299.86
"5130","Cacng8",722.79,844.23,704.11,862.86,1362.67,973.35,973.8
"5131","Cactin",353.54,353.73,376.62,415.32,544.56,499.66,569.77
"5132","Cacul1",1433.01,1304.54,1354.43,1450.75,1876.09,1671.61,1720.84
"5133","Cacybp",2757.59,2416.66,2302.99,1878.73,1638.74,1828.1,1818.97
"5134","Cad",252.98,252.8,299.42,309.48,406.53,358.6,351.26
"5135","Cadm1",2884.87,3482.55,4221.18,2749.64,5634.17,6332.74,4911.04
"5136","Cadm2",7835.96,7812.16,8149.95,6538.15,9933.45,10113.15,10077.7
"5137","Cadm3",6406.1,6493.47,6607.22,5988.23,16540.59,13361.63,15984.8
"5138","Cadm4",7075.46,6700.99,6210.71,6890.2,8516.91,8982.61,9103.9
"5139","Cadps",5361.2,5216.28,4517.09,4508.72,5975.05,5785.36,5224.37
"5140","Cadps2",2210.79,1941.25,1715.84,2004.13,2591.52,2364.95,3355.93
"5141","Cage1",29.85,34.9,24.56,37.97,46.29,47.72,37.93
"5142","Calb1",2074.09,1662.04,2143.92,1110.21,4220.16,2793.03,5782.6
"5143","Calb2",248.26,239.59,309.95,193.28,653.14,536.85,1583.14
"5144","Calca",45.57,79.23,61.99,39.12,10.1,47.02,20.61
"5145","Calcb",0,4.72,0,0,0,0,1.65
"5146","Calcoco1",716.5,744.24,738.03,803.03,1148.89,1124.93,1186.53
"5147","Calcoco2",0,1.89,0,0,0,2.11,0
"5148","Calcr",0,0.94,3.51,0,0,0,2.47
"5149","Calcrl",245.12,272.61,286.56,185.23,199.48,248.43,208.61
"5150","Cald1",465.1,449.94,550.89,574.09,443.56,524.22,495.56
"5151","Calhm1",0,0,0,0,0,0,0
"5152","Calhm2",72.28,65.09,77.2,95.49,122.04,103.86,104.72
"5153","Calhm3",3.14,0,1.17,0,0,0,1.65
"5154","Calhm4",0,0,0,0,0,0,0
"5155","Calhm5",169.7,138.66,132.17,115.05,144.77,136.84,122.86
"5156","Calhm6",6.29,8.49,4.68,4.6,1.68,1.4,0
"5157","Calm1",118678.59,109982.48,115871.3,101797.56,116292.53,93828.93,99977.15
"5158","Calm2",55115.7,48506.73,42073.77,39953.73,48356.74,44976.89,46457.01
"5159","Calm3",43584.09,43213.1,41638.67,43240.64,63114.67,48542.56,51519.77
"5160","Calm4",0,0,0,0,0,0,0
"5161","Calm5",0,0,0,0,0,0,0
"5162","Calml3",0,0,0,0,0,0,0
"5163","Calml4",9.43,4.72,8.19,6.9,0.84,27.37,44.53
"5164","Caln1",5419.34,6331.23,6220.07,6129.74,6198.09,6190.28,5437.11
"5165","Calr",8987.71,8746,8588.56,6389.74,13223.55,13289.34,13953.92
"5166","Calr-ps",0,0.94,0,0,0.84,0,0
"5167","Calr3",12.57,14.15,16.37,13.81,15.99,35.09,13.19
"5168","Calr4",11,22.64,18.71,24.16,15.99,7.72,8.25
"5169","Calu",2345.92,2290.26,2403.58,2113.42,3577.96,3427.43,3490.34
"5170","Caly",2006.52,1988.41,1921.69,1519.78,3397,2856.89,2927.17
"5171","Camk1",2028.52,1741.28,1526.36,1413.93,1528.48,1256.86,1461.93
"5172","Camk1d",2077.23,2360.06,2257.38,2365.38,3072.11,3008.47,2608.89
"5173","Camk1g",546.8,567.85,649.14,576.39,1068.09,1188.09,1112.32
"5174","Camk2a",117300.58,115276.11,116967.24,126701.91,102312.31,63034.03,73614.52
"5175","Camk2b",11940.14,13883.05,12768.8,13100.47,23383.41,19685.24,20335.15
"5176","Camk2d",1167.46,1586.58,1552.09,1242.51,2785.1,2404.95,2514.89
"5177","Camk2g",4951.1,4944.62,4617.68,4967.75,6433.76,6464.67,5979.66
"5178","Camk2n1",117621.12,100670.52,99770.24,95526.32,67276.75,52058.41,55062.06
"5179","Camk2n2",2396.2,2239.32,2443.35,2208.91,2335.65,1922.84,2124.88
"5180","Camk4",1338.73,1333.78,1397.7,1341.45,2171.52,1937.58,1785.98
"5181","Camkk1",802.92,787.63,840.96,900.82,1055.46,1204.23,1226.94
"5182","Camkk2",8205.21,7135.84,7735.9,7669.07,8459.67,6814.15,7804.4
"5183","Camkmt",146.13,131.11,98.25,159.92,148.98,147.37,160.79
"5184","Camkv",9745.06,10397.67,10002.64,10472.78,12672.26,10823.34,10366.29
"5185","Caml",755.78,690.47,656.16,568.34,568.13,522.82,555.75
"5186","Camp",1.57,2.83,8.19,3.45,0.84,0.7,2.47
"5187","Camsap1",1484.86,1608.28,1643.32,1686.6,3151.23,2647.06,2738.34
"5188","Camsap2",3277.68,3583.48,3576.72,3632.05,5651,5142.54,4953.92
"5189","Camsap3",471.38,514.08,538.03,505.06,765.08,671.59,710.77
"5190","Camta1",3562.09,3759.88,3485.48,3508.95,4909.49,4589.55,4885.48
"5191","Camta2",8395.34,8614.89,8180.36,9506.38,9097.66,5754.48,6941.09
"5192","Cand1",1872.96,1991.24,1920.53,1742.97,3954.19,3475.85,3384.79
"5193","Cand2",37.71,53.77,52.63,66.73,79.12,79.3,39.58
"5194","Cant1",746.36,742.35,764.94,785.78,1130.37,1188.09,1124.69
"5195","Canx",9448.09,9145.95,9466.95,7509.16,12405.45,12068.97,11826.58
"5196","Cap1",3029.42,3033.56,3018.8,3033.8,5417.86,4800.08,5029.78
"5197","Cap2",3095.42,3089.21,3021.14,3003.89,6194.73,5317.98,5832.07
"5198","Capg",33,19.81,31.58,31.06,52.18,72.98,43.7
"5199","Capn1",193.27,201.86,223.4,222.04,410.74,408.43,426.29
"5200","Capn10",815.49,775.37,871.37,839.85,797.07,769.84,832.8
"5201","Capn11",65.99,4.72,4.68,31.06,5.05,40.7,1.65
"5202","Capn12",53.42,43.39,25.73,31.06,23.57,21.05,24.74
"5203","Capn13",0,0,1.17,0,0,0.7,0.82
"5204","Capn15",1104.61,1040.43,1115.82,1209.15,951.09,820.36,907.01
"5205","Capn2",1308.87,1230.97,1632.8,1570.4,1592.45,1629.5,1501.51
"5206","Capn3",18.86,17.92,29.24,14.96,17.68,10.53,15.67
"5207","Capn5",1106.18,1142.3,1113.48,1344.91,1308.8,1169.14,1283.83
"5208","Capn6",15.71,25.47,45.62,24.16,9.26,11.93,11.54
"5209","Capn7",947.48,822.53,849.15,872.06,897.23,903.87,834.45
"5210","Capn8",0,0,0,0,0,3.51,0
"5211","Capn9",0,7.55,8.19,3.45,0.84,5.61,3.3
"5212","Capns1",1755.12,1927.1,1607.07,1951.21,2690.83,2419.69,2664.96
"5213","Capns2",6.29,0,8.19,3.45,0,2.81,0
"5214","Caprin1",3824.49,3927.78,3879.65,3944.98,6101.3,6004.31,6273.21
"5215","Caprin2",122.56,83.95,106.44,79.38,23.57,59.65,44.53
"5216","Caps2",7.86,16.98,5.85,4.6,0,4.91,5.77
"5217","Capsl",22,18.87,23.39,36.82,14.31,50.53,36.28
"5218","Capza1",647.37,598.98,549.72,547.63,392.22,441.41,496.38
"5219","Capza1-ps1",29.85,25.47,16.37,21.86,18.52,23.86,20.61
"5220","Capza2",10161.45,8950.69,8502.01,7969.35,7067.54,6862.57,6978.2
"5221","Capza3",0,0,0,0,0,0,0
"5222","Capzb",4770.4,4659.75,4403.64,4728.46,6105.51,5393.07,5852.68
"5223","Car1",0,3.77,0,2.3,0,0.7,0.82
"5224","Car10",2135.37,1857.3,1795.38,1853.42,3985.33,2686.36,3686.58
"5225","Car11",1918.53,1768.63,1755.61,1774.03,2572.16,1860.38,2020.98
"5226","Car12",18.86,48.11,24.56,43.72,17.68,35.79,41.23
"5227","Car13",48.71,29.24,23.39,120.8,6.73,56.14,44.53
"5228","Car14",102.13,120.74,69.01,155.31,23.57,75.79,69.26
"5229","Car15",48.71,50.94,32.75,36.82,74.91,48.42,66.79
"5230","Car2",4127.75,3950.42,4149.83,3957.64,2276.73,1861.08,2086.12
"5231","Car3",3.14,2.83,3.51,1.15,2.53,5.61,10.72
"5232","Car4",564.09,546.15,514.64,373.9,729.73,547.38,648.1
"5233","Car5a",3.14,4.72,3.51,1.15,10.1,2.11,4.12
"5234","Car5b",210.55,172.62,203.51,182.93,91.74,84.91,61.02
"5235","Car6",0,0,0,0,0.84,0,2.47
"5236","Car7",391.25,330.14,338.02,358.95,317.31,345.27,389.19
"5237","Car8",1981.38,1705.43,1725.2,1354.11,1316.38,1313.71,6137.15
"5238","Car9",0,2.83,2.34,2.3,0.84,29.47,45.35
"5239","Card10",65.99,66.97,90.06,77.08,60.6,73.69,57.72
"5240","Card11",3.14,1.89,2.34,8.05,3.37,2.81,2.47
"5241","Card14",23.57,3.77,12.87,27.61,1.68,10.53,15.67
"5242","Card19",80.14,143.38,95.91,100.09,45.45,44.91,70.09
"5243","Card6",28.28,33.01,43.28,32.21,54.71,60.35,58.54
"5244","Card9",56.57,45.28,38.6,58.67,44.61,23.86,25.56
"5245","Carf",413.25,513.14,511.13,491.25,304.69,350.88,258.91
"5246","Carhsp1",975.76,1085.7,1039.8,1257.47,496.59,560.71,557.4
"5247","Carlr",36.14,21.7,12.87,27.61,19.36,18.25,24.74
"5248","Carm1",1030.76,958.36,894.76,1084.9,1435.06,1323.53,1237.66
"5249","Carmil1",685.08,846.11,878.39,938.79,776.87,757.91,643.15
"5250","Carmil2",1004.05,1147.02,970.79,1210.3,1241.47,936.86,1039.76
"5251","Carmil3",529.52,689.53,593,644.27,487.33,437.2,423
"5252","Carmn",0,0,0,0,0,0,0
"5253","Carnmt1",80.14,86.78,100.59,102.39,79.96,98.25,104.72
"5254","Carns1",103.7,116.97,83.04,176.02,69.02,66.67,81.63
"5255","Cars",534.23,538.61,569.61,585.59,949.41,837.91,919.38
"5256","Cars2",232.55,254.68,228.08,188.68,190.22,166.32,168.21
"5257","Cartpt",263.97,217.9,251.47,199.03,256.71,240.71,249.84
"5258","Casc1",11,9.43,26.9,10.35,5.89,20.35,12.37
"5259","Casc3",757.36,880.07,817.57,931.89,1193.49,1287.04,1152.73
"5260","Casc4",2248.5,2380.81,2493.64,2621.93,2835.6,2921.45,2824.92
"5261","Casd1",1110.89,1247,1230.45,1071.09,1669.04,1628.1,1567.48
"5262","Cask",1987.67,2014.83,2024.62,1886.78,2753.12,2574.78,2591.57
"5263","Caskin1",2888.01,3049.59,2983.72,3480.19,3326.3,2877.94,3059.92
"5264","Caskin2",499.67,530.12,603.53,591.34,611.06,525.62,510.4
"5265","Casp1",26.71,41.5,60.82,25.31,34.51,26.67,23.09
"5266","Casp12",28.28,19.81,19.88,17.26,11.78,14.74,14.02
"5267","Casp14",0,0,0,0,0,0,0
"5268","Casp16",0,0,2.34,0,0,0,1.65
"5269","Casp2",212.12,281.09,309.95,320.98,207.89,240,253.96
"5270","Casp3",795.07,765.94,652.65,567.18,608.53,511.59,648.1
"5271","Casp4",1.57,4.72,3.51,11.5,2.53,4.21,4.95
"5272","Casp6",51.85,101.87,97.08,108.14,52.18,53.33,75.03
"5273","Casp7",130.42,161.3,147.37,102.39,182.64,143.16,136.05
"5274","Casp8",86.42,90.55,91.23,82.83,96.79,101.76,91.53
"5275","Casp8ap2",227.84,335.8,279.54,289.92,295.43,293.34,296.01
"5276","Casp9",471.38,510.31,450.31,494.7,483.12,436.5,507.1
"5277","Casq1",12.57,11.32,7.02,8.05,1.68,8.42,1.65
"5278","Casq2",14.14,29.24,40.94,23.01,48.82,40,112.14
"5279","Casr",28.28,31.13,22.22,47.17,5.89,7.72,9.07
"5280","Cass4",12.57,4.72,14.04,9.2,21.04,15.44,14.84
"5281","Cast",111.56,98.1,114.62,134.61,118.68,140.35,156.67
"5282","Castor1",54.99,58.48,70.18,49.47,60.6,51.23,52.77
"5283","Castor2",5897,6368.96,6551.07,6374.79,5278.98,5177.63,5089.15
"5284","Casz1",59.71,88.67,63.16,67.88,56.39,68.07,42.88
"5285","Cat",1180.03,1211.16,1393.02,1355.26,1434.21,1278.62,1180.76
"5286","Catip",17.28,18.87,14.04,33.36,11.78,56.14,36.28
"5287","Catsper1",0,0,0,0,0,0,0
"5288","Catsper2",67.56,58.48,56.14,65.58,32.83,32.98,16.49
"5289","Catsper3",3.14,6.6,2.34,2.3,0.84,0.7,0
"5290","Catsper4",0,0.94,0,0,0,0,0
"5291","Catsperb",0,0,0,0,0,0,0
"5292","Catsperd",18.86,8.49,5.85,10.35,1.68,2.81,4.12
"5293","Catspere1",0,0,0,0,0,0,0
"5294","Catspere2",17.28,22.64,12.87,41.42,26.93,22.46,23.91
"5295","Catsperg1",4.71,7.55,8.19,4.6,0,2.81,3.3
"5296","Catsperg2",0,0,0,2.3,0,0,0
"5297","Catsperz",48.71,50.94,38.6,55.22,48.82,49.83,68.44
"5298","Cav1",240.41,274.49,313.46,364.7,548.77,542.47,394.96
"5299","Cav2",2405.63,2220.46,2095.97,1948.91,1176.66,1261.07,1142.01
"5300","Cav3",3.14,11.32,1.17,2.3,0.84,3.51,3.3
"5301","Cavin1",359.82,277.32,354.4,459.04,513.42,574.75,475.77
"5302","Cavin2",144.56,155.64,169.6,177.17,180.96,232.99,220.98
"5303","Cavin3",399.1,332.97,385.98,368.15,365.29,301.06,364.45
"5304","Cavin4",11,15.09,10.53,10.35,2.53,4.91,5.77
"5305","Cbarp",3761.64,4291.88,4395.45,4489.16,8701.23,6927.13,7873.66
"5306","Cbfa2t2",696.08,768.77,784.82,744.36,1218.75,1121.42,1114.8
"5307","Cbfa2t2-ps1",1.57,1.89,2.34,4.6,6.73,0.7,4.12
"5308","Cbfa2t3",513.81,563.13,405.86,584.44,733.1,848.44,1022.45
"5309","Cbfb",677.22,732.92,731.02,804.18,589.17,705.98,723.13
"5310","Cbl",952.19,1235.68,1279.57,1247.12,1449.36,1494.76,1308.57
"5311","Cblb",282.83,344.29,348.55,368.15,510.9,559.31,481.54
"5312","Cblc",0,0,0,0,0,4.21,0
"5313","Cblif",0,0,0,0,0,0,0
"5314","Cbll1",370.82,422.59,408.2,442.93,680.91,701.06,659.64
"5315","Cbln1",265.55,316,382.47,254.26,531.94,1011.24,2094.37
"5316","Cbln2",586.09,555.59,554.4,498.16,605.16,870.19,716.54
"5317","Cbln3",3.14,9.43,25.73,18.41,217.99,142.46,2535.5
"5318","Cbln4",91.13,68.86,108.78,72.48,161.6,124.91,158.31
"5319","Cbr1",1472.29,1165.88,1001.2,936.49,962.03,896.86,1033.17
"5320","Cbr2",20.43,30.18,47.95,13.81,32.83,23.16,23.09
"5321","Cbr3",150.84,179.22,170.77,172.57,142.24,129.12,101.42
"5322","Cbr4",279.69,336.75,274.86,255.41,303.84,244.21,298.49
"5323","Cbs",1052.76,1055.52,1309.98,1174.64,1166.56,870.19,1051.31
"5324","Cbwd1",452.53,355.61,327.5,362.4,314.79,272.29,333.12
"5325","Cbx1",1158.03,1178.14,1032.78,949.14,825.68,1021.77,1053.78
"5326","Cbx2",26.71,45.28,65.5,60.98,50.5,42.81,55.25
"5327","Cbx3",1203.6,1064.95,1106.47,1008.97,1052.94,1123.53,1185.71
"5328","Cbx3-ps1",0,0,0,1.15,0,0,0
"5329","Cbx3-ps2",0,0,0,0,0,0,0
"5330","Cbx3-ps3",1.57,0,0,0,0,0,0.82
"5331","Cbx3-ps4",0,0,0,0,0,0,0
"5332","Cbx3-ps5",0,0,0,0,0,0,0
"5333","Cbx3-ps6",0,0.94,1.17,0,5.05,0.7,0.82
"5334","Cbx3-ps7",0,1.89,1.17,4.6,5.05,3.51,2.47
"5335","Cbx3-ps8",0,0,1.17,0,0,0,0.82
"5336","Cbx4",650.51,695.19,707.62,693.74,1556.26,1440.73,1442.97
"5337","Cbx5",5329.77,5328.53,5987.31,5682.2,5878.26,5703.25,5593.77
"5338","Cbx6",24298.23,23843.98,25129.41,24865.24,22245.47,17180.64,19634.28
"5339","Cbx7",263.97,283.92,274.86,295.67,187.69,232.28,272.93
"5340","Cbx8",252.98,265.06,242.11,247.35,454.5,380.36,390.01
"5341","Cby1",1519.43,1239.46,1145.06,1049.23,1180.03,1052.65,1144.48
"5342","Cby2",0,0,0,0,0,0,0
"5343","Cby3",1.57,6.6,4.68,1.15,3.37,2.81,1.65
"5344","Cc2d1a",529.52,630.1,566.1,605.15,1169.93,1038.61,997.71
"5345","Cc2d1b",312.68,358.44,381.3,392.31,217.15,223.86,189.65
"5346","Cc2d2a",312.68,284.87,286.56,303.73,262.6,261.76,212.73
"5347","Cc2d2b",0,1.89,1.17,8.05,1.68,2.11,4.12
"5348","Ccar1",826.49,953.65,980.15,988.26,1204.44,1222.48,1233.53
"5349","Ccar2",1406.29,1311.15,1481.92,1335.7,2034.33,1891.96,2017.68
"5350","Ccbe1",70.71,100.93,163.75,80.53,271.02,202.81,192.12
"5351","Ccdc102a",26.71,31.13,26.9,35.66,21.04,37.19,57.72
"5352","Ccdc103",58.14,64.14,59.65,51.77,111.1,80,80.81
"5353","Ccdc105",3.14,0,2.34,8.05,1.68,9.12,8.25
"5354","Ccdc106",1052.76,1079.1,988.33,961.8,989.81,816.86,938.34
"5355","Ccdc107",498.09,467.86,378.96,277.26,328.25,282.11,282.82
"5356","Ccdc110",18.86,13.21,4.68,17.26,9.26,12.63,10.72
"5357","Ccdc112",175.98,196.2,175.44,178.32,234.83,203.51,214.38
"5358","Ccdc113",18.86,16.04,24.56,14.96,29.46,56.14,39.58
"5359","Ccdc114",54.99,33.01,30.41,43.72,14.31,39.3,23.09
"5360","Ccdc115",510.67,424.47,357.91,297.97,264.29,322.81,279.52
"5361","Ccdc116",44,47.16,66.67,95.49,60.6,58.25,48.65
"5362","Ccdc117",399.1,394.29,421.07,411.87,401.48,418.25,523.59
"5363","Ccdc12",414.82,390.51,336.85,327.89,350.14,345.27,372.7
"5364","Ccdc120",197.98,273.55,221.06,224.34,258.39,214.04,235
"5365","Ccdc121",1.57,4.72,3.51,6.9,1.68,11.93,18.96
