"","gene","CTX-M-CRE1","CTX-M-CRE2","CTX-M-CRE3","CTX-M-DSVA1","CTX-M-DSVA2","CTX-M-DSVA3","CTX-M-DSVA4","CTX-M-XDP1","CTX-M-XDP2","CTX-M-XDP3"
"196","1700016B15Rik",0,0,0,0,0,0,0,0,0,0
"197","1700016C15Rik",0.9,0,0,0,0,0,0,0,0,3.41
"198","1700016D06Rik",0.9,0,0.78,3.27,0,2.43,0,0,0,0
"199","1700016D08Rik",0,0,0,0,0,0,0,0,0,0
"200","1700016F12Rik",0,0,0,0,0,0,0,0,0,0
"201","1700016G22Rik",0,0,0,0,0,0,0,0,0,0
"202","1700016H03Rik",0,0,0,0,0,0,0,0,0,0
"203","1700016H13Rik",2.7,0,0,1.64,3.93,2.43,0,0,0.73,0.85
"204","1700016J18Rik",1.8,0,0,4.91,1.96,0,4.79,0,0.73,0.85
"205","1700016K05Rik",0,0,0,3.27,0,0,0,0,0,0
"206","1700016K19Rik",45.89,52.64,72.2,42.57,57.9,67.96,67.04,52.25,84.87,75.05
"207","1700016L21Rik",0,0,0,0,0,0,0,0,0,0
"208","1700016P03Rik",35.09,66.89,117.23,235.79,165.85,201.45,210.69,60.96,58.03,77.61
"209","1700016P04Rik",0,0,0,0,0,0,0,0,0,0
"210","1700017B05Rik",388.72,451.79,202.63,155.55,134.45,161.4,198.72,252.54,228.49,293.38
"211","1700017G19Rik",0,0,0.78,0,0,0,0,0.87,0,0
"212","1700017I07Rik",0,0,0,0,0,0,0,0,0,0
"213","1700017J07Rik",0,0,2.33,0,0,0,0,0,0,0
"214","1700017L05Rik",0,0,0,0,0,0,0,0,0,0
"215","1700017M07Rik",0.9,12.06,3.88,4.91,1.96,7.28,3.59,2.61,6.53,0.85
"216","1700017N19Rik",0,0,1.55,0,0,0,0,0,0.73,0
"217","1700018A04Rik",2.7,8.77,7.76,0,0.98,3.64,7.18,7.84,0,0
"218","1700018A14Rik",0,2.19,0,0,1.96,2.43,0,0.87,0.73,0
"219","1700018A23Rik",0,0,1.55,0,0,0,0,0,0,0.85
"220","1700018B08Rik",0,0,0,0,0,0,0,0,0,0
"221","1700018B24Rik",0,0,0,0,0.98,0,0,0,0,0
"222","1700018F24Rik",0,0,0,0,0,0,0,0,0,0
"223","1700018G05Rik",0,0,0,0,0,0,0,0,0,0
"224","1700018L02Rik",6.3,6.58,7.76,13.1,3.93,21.84,3.59,4.35,5.08,13.65
"225","1700018M17Rik",0,0,0,0,0,0,0,0,0,0.85
"226","1700018P08Rik",0,0,0,0,0,0,0,0,0,0
"227","1700019A02Rik",0,2.19,2.33,1.64,2.94,3.64,3.59,2.61,0,5.97
"228","1700019A23Rik",0,0,0,0,1.96,0,0,0,0,0
"229","1700019C18Rik",0,0,0.78,0,0.98,2.43,0,0,2.9,0
"230","1700019D03Rik",269.05,268.66,380.41,528.88,545.65,467.21,509.97,347.46,367.77,356.49
"231","1700019E08Rik",0,0,0,0,0,0,0,0,0,0
"232","1700019F05Rik",0,0,0,0,0,0,0,0,0,0
"233","1700019G24Rik",1.8,1.1,1.55,9.82,0,0,4.79,0,13.78,2.56
"234","1700019J19Rik",0,0,0,0,0,0,2.39,0,0,0
"235","1700019L13Rik",0,0,0,1.64,0.98,2.43,1.2,1.74,0,0
"236","1700019M22Rik",0,0,0,0,0,0,0,0,0,0
"237","1700019N19Rik",0,0,0.78,0,0,4.85,2.39,0.87,0,0
"238","1700019P21Rik",0,0,0,0,0,0,0,0,0,0
"239","1700020A23Rik",0,0,0,0,0,0,0,0,0,0
