"","gene","STR-M-CRE1","STR-M-CRE2","STR-M-CRE3","STR-M-DSVA1","STR-M-DSVA2","STR-M-DSVA3","STR-M-DSVA4","STR-M-XDP1","STR-M-XDP2","STR-M-XDP3"
"35958","Gm7438",0,0,0,0,0,0,0,0,0,0
"35959","Gm7439",0.92,0,0,0,0,0,0,0,0,0
"35960","Gm7441",0,0,0,1.53,0,0,0.77,0,0,0
"35961","Gm7442",0.92,0,0,0,0,0,0,0,0,1.13
"35962","Gm7443",0,1.11,3.6,1.53,0,1.01,3.07,3.26,2.58,2.26
"35963","Gm7444",0,0,0,0,0,0,0,0,0,0
"35964","Gm7445",0,0,0,0,0,0,0,0,0,0
"35965","Gm7446",0.92,0,1.2,3.83,3.22,2.02,1.53,2.18,1.29,2.26
"35966","Gm7447",0,0,0,0,0,0,0,0,0,1.13
"35967","Gm7449",0,1.11,0,0,0,0,0.77,0,0,0
"35968","Gm7450",0,0,0,0,0.81,0,3.83,1.09,0,1.13
"35969","Gm7451",0.92,1.11,0,0,0,2.02,1.53,2.18,6.46,1.13
"35970","Gm7452",0,1.11,0,0,1.61,1.01,0,3.26,0,1.13
"35971","Gm7456",1.84,3.33,2.4,3.06,2.42,6.07,3.07,5.44,2.58,1.13
"35972","Gm7457",0.92,2.22,0,3.06,0.81,6.07,2.3,3.26,0,3.4
"35973","Gm7459",2.76,5.56,1.2,0,4.03,7.08,1.53,4.35,5.17,4.53
"35974","Gm7461",1.84,4.45,0,1.53,0.81,5.06,4.6,0,2.58,5.66
"35975","Gm7463",0,0,1.2,0,0,0,0,0,0,0
"35976","Gm7464",1.84,1.11,1.2,2.3,0.81,1.01,0,0,1.29,1.13
"35977","Gm7466",0,0,0,0.77,1.61,3.04,3.83,5.44,1.29,0
"35978","Gm7467",11.06,14.45,6.01,16.07,9.67,15.18,20.7,19.59,12.92,16.98
"35979","Gm7468",0,1.11,0,0,0,1.01,0,1.09,1.29,0
"35980","Gm7470",0,0,0,0,0,0,0.77,0,0,0
"35981","Gm7473",0,0,0,0,0,0,0,0,0,0
"35982","Gm7476",0,2.22,0,0,0.81,1.01,1.53,1.09,0,0
"35983","Gm7477",0,0,0,0,0,0,0,0,0,0
"35984","Gm7478",1.84,1.11,2.4,0,0.81,0,1.53,0,0,2.26
"35985","Gm7480",0,0,0,0,0,0,0,0,0,0
"35986","Gm7481",2.76,1.11,2.4,0,2.42,2.02,2.3,0,3.88,1.13
"35987","Gm7482",0,0,0,0.77,2.42,0,0.77,1.09,0,0
"35988","Gm7483",0,0,0,0,0,0,0,0,0,0
"35989","Gm7485",0,0,0,0,0,0,0,0,0,0
"35990","Gm7488",24.88,16.67,12.01,14.54,9.67,8.1,17.64,16.32,16.8,20.37
"35991","Gm7489",0,0,0,0,0,0,0,0,0,0
"35992","Gm7492",0,0,0,0,0,0,0,0,0,1.13
"35993","Gm7493",0,1.11,0,0,0,0,0,0,0,0
"35994","Gm7494",0.92,0,0,0,0,0,0,1.09,0,1.13
"35995","Gm7495",0,0,0,0,0,0,0,0,0,0
"35996","Gm7496",0,0,0,0,0,0,0,0,0,0
"35997","Gm7497",0.92,4.45,1.2,0,1.61,1.01,0,1.09,0,1.13
"35998","Gm7498",3.69,2.22,4.8,3.06,1.61,1.01,0,2.18,0,2.26
"35999","Gm7499",0,0,0,0,0,0,0,0,0,0
"36000","Gm7501",0,0,0,0,0,0,0,0,0,0
"36001","Gm7502",0,2.22,1.2,0.77,1.61,1.01,0,0,0,0
"36002","Gm7503",0,0,0,0,0,0,0,0,0,0
"36003","Gm7504",0,0,1.2,0,0,0,0,0,0,0
"36004","Gm7506",0,0,0,0,0,0,0,0,0,0
"36005","Gm7507",2.76,2.22,1.2,3.06,4.03,1.01,6.9,3.26,6.46,3.4
"36006","Gm7508",0,0,0,0,0,0,0,0,0,0
"36007","Gm7511",0,1.11,1.2,0.77,0.81,0,0.77,5.44,0,0
"36008","Gm7512",0,0,0,0,0,0,0,0,0,0
"36009","Gm7513",0,0,0,0,0,0,0,0,0,0
"36010","Gm7514",0,2.22,1.2,0.77,2.42,3.04,0.77,3.26,0,0
"36011","Gm7516",0.92,0,0,0,0,2.02,0,0,0,0
"36012","Gm7517",0.92,1.11,2.4,0,4.03,1.01,0.77,3.26,1.29,3.4
"36013","Gm7523",0,0,0,0,0,0,0,0,0,0
"36014","Gm7525",0.92,0,1.2,0,1.61,1.01,0,0,1.29,0
"36015","Gm7527",0,0,0,0,0,0,1.53,2.18,0,0
"36016","Gm7529",0,0,0,0,0,0,0,0,0,0
"36017","Gm7530",0,0,1.2,0,0,0,0,0,0,0
"36018","Gm7531",0,0,0,0,0,0,0,0,0,0
"36019","Gm7532",0,0,0,0,0,0,0,0,0,0
"36020","Gm7535",5.53,4.45,6.01,2.3,4.03,4.05,6.13,2.18,6.46,3.4
"36021","Gm7536",34.09,53.35,60.05,55.09,74.95,39.46,49.08,35.91,43.94,86.02
"36022","Gm7537",0,0,0,0,0,0,0,1.09,0,0
"36023","Gm7538",0,3.33,0,0,1.61,0,0,2.18,1.29,2.26
"36024","Gm7539",0,0,0,0,0,0,0.77,1.09,0,1.13
"36025","Gm7540",0,0,0,0,0,0,0,0,0,0
"36026","Gm7541",0.92,0,1.2,0,0.81,1.01,0,1.09,1.29,0
"36027","Gm7542",0,0,0,0,0.81,2.02,0,0,0,0
"36028","Gm7543",0,3.33,4.8,0.77,0.81,0,0.77,1.09,0,2.26
"36029","Gm7544",0,0,0,0,0,0,0,0,0,0
"36030","Gm7545",2.76,1.11,2.4,1.53,0.81,0,2.3,2.18,1.29,1.13
"36031","Gm7546",0,0,0,0,0,0,0,0,0,0
"36032","Gm7550",0,0,0,0,0,0,0,0,0,0
"36033","Gm7551",0,1.11,3.6,1.53,0,1.01,1.53,2.18,1.29,1.13
"36034","Gm7553",0.92,0,0,0.77,1.61,0,0,0,0,1.13
"36035","Gm7554",0,0,0,0,0,1.01,1.53,0,0,0
"36036","Gm7556",0.92,1.11,2.4,0.77,0,2.02,0.77,3.26,1.29,1.13
"36037","Gm7557",0,0,2.4,0,0,0,0,0,0,0
"36038","Gm7558",1.84,0,0,0,0.81,1.01,0,0,3.88,0
"36039","Gm7559",0,0,0,0,0,0,0,0,0,0
"36040","Gm7560",0,0,2.4,0,0.81,0,1.53,0,0,0
"36041","Gm7561",0,0,0,0,0,2.02,0,0,2.58,1.13
"36042","Gm7562",0,0,0,0,0,0,0,0,0,0
"36043","Gm7565",1.84,1.11,3.6,2.3,0,0,0,2.18,0,2.26
"36044","Gm7566",0,0,0,0,0,0,0,0,0,0
"36045","Gm7568",0,0,0,0,0,0,0,0,0,0
"36046","Gm7569",0,0,0,0,0,0,0,0,0,0
"36047","Gm7570",0,0,0,0,0,0,0,0,1.29,0
"36048","Gm7571",0,0,0,0,0,0,0,0,1.29,0
"36049","Gm7572",0,0,0,0,0,0,0.77,2.18,0,1.13
"36050","Gm7575",0,0,1.2,0,0,0,0,0,0,0
"36051","Gm7577",0,0,0,0,0,0,0,0,0,0
"36052","Gm7579",0,0,0,0,0,0,0,0,0,0
"36053","Gm7580",0,0,0,0,0,0,0,0,0,0
"36054","Gm7582",0,0,0,0,0,0,0,0,0,0
"36055","Gm7583",1.84,2.22,2.4,4.59,0,2.02,0,0,0,1.13
"36056","Gm7584",0,0,0,0,0,0,0,0,0,0
"36057","Gm7587",0,0,0,0,0,0,0,0,0,0
"36058","Gm7588",5.53,0,0,3.06,0.81,1.01,3.07,2.18,5.17,2.26
"36059","Gm7589",1.84,4.45,4.8,6.12,2.42,3.04,5.37,10.88,5.17,10.19
"36060","Gm7591",2.76,3.33,2.4,3.83,2.42,2.02,2.3,4.35,2.58,3.4
"36061","Gm7592",0,0,0,0,0,0,0,0,0,0
"36062","Gm7593",0,0,0,0.77,0,0,0,0,0,0
"36063","Gm7594",0,0,0,0,0,0,0,1.09,0,1.13
"36064","Gm7595",0,0,0,0,0,0,0,0,0,0
"36065","Gm7596",0,0,0,0,0,0,0,0,0,0
"36066","Gm7598",4.61,1.11,4.8,3.83,7.25,7.08,2.3,2.18,3.88,4.53
"36067","Gm7599",1.84,0,0,0,0,0,0,0,0,0
"36068","Gm7600",4.61,7.78,12.01,2.3,2.42,7.08,6.9,5.44,1.29,5.66
"36069","Gm7604",0,0,0,0,0.81,0,0.77,0,0,1.13
"36070","Gm7607",0,0,0,0,0,0,0,0,0,0
"36071","Gm7609",0,0,0,0,0,0,0,0,0,0
"36072","Gm7611",0,0,0,3.06,2.42,0,2.3,0,1.29,0
"36073","Gm7612",0,0,0,0,0,0,0,0,0,0
"36074","Gm7613",0.92,1.11,2.4,2.3,4.84,2.02,5.37,5.44,2.58,3.4
"36075","Gm7614",0,0,0,0,0,0,1.53,1.09,2.58,1.13
"36076","Gm7616",0,0,0,0,0,0,0,0,0,0
"36077","Gm7618",1.84,2.22,3.6,0.77,0,0,0.77,3.26,1.29,1.13
"36078","Gm7619",0.92,0,0,0,0,0,0,0,0,0
"36079","Gm7621",0,0,0,0,0.81,0,0,0,0,0
"36080","Gm7622",0,0,0,0,0,1.01,0,0,0,0
"36081","Gm7623",3.69,1.11,0,0.77,0,0,2.3,1.09,1.29,3.4
"36082","Gm7624",0,0,0,0,0,0,0,0,0,0
"36083","Gm7626",0,0,0,0,0,0,0,0,0,0
"36084","Gm7627",0.92,0,0,0,0.81,1.01,0.77,1.09,0,0
"36085","Gm7628",0,4.45,3.6,6.12,10.48,7.08,5.37,5.44,15.51,2.26
"36086","Gm7631",0,0,0,0,0,0,0,0,0,0
"36087","Gm7633",0,0,0,0,0,0,0,0,0,0
"36088","Gm7634",0,2.22,3.6,0.77,0.81,0,1.53,0,0,0
"36089","Gm7638",0,1.11,1.2,0,0,0,0,0,0,0
"36090","Gm7639",0,0,0,0,0,0,0,0,0,0
"36091","Gm7642",0.92,0,0,0,0,0,0.77,2.18,0,0
"36092","Gm7644",0,1.11,0,2.3,0,0,0,0,0,0
"36093","Gm7645",0,0,0,2.3,0.81,0,0.77,0,0,0
"36094","Gm7646",0,0,0,0,0,0,0,0,0,0
"36095","Gm7647",0,0,0,0,0,0,0,0,0,0
"36096","Gm7648",0,0,0,0,0,0,0,0,0,0
"36097","Gm765",5.53,16.67,25.22,13.77,13.7,8.1,9.97,21.76,16.8,4.53
"36098","Gm7651",0,0,0,0,0,0,0,0,0,0
"36099","Gm7652",0,0,0,0,0,0,0,0,0,0
"36100","Gm7653",0,0,0,0,0,0,0,0,0,0
"36101","Gm7654",0,0,0,0,0,0,0,2.18,0,0
"36102","Gm7656",0,0,0,0,0.81,0,0,1.09,0,0
"36103","Gm7657",0,0,0,0,0,0,0,0,0,0
"36104","Gm7658",13.82,1.11,14.41,10.71,6.45,7.08,3.83,4.35,6.46,9.05
"36105","Gm7662",0,1.11,0,0,0,0,0,0,0,0
"36106","Gm7663",0,0,0,0,0,0,0,0,0,0
"36107","Gm7664",0,1.11,2.4,0,0,0,0,0,1.29,0
"36108","Gm7665",0.92,2.22,1.2,2.3,3.22,2.02,0.77,0,1.29,0
"36109","Gm7666",28.56,41.12,36.03,31.37,32.24,29.34,42.94,41.35,38.77,46.41
"36110","Gm7667",0,0,1.2,0,0,0,1.53,0,0,0
"36111","Gm7669",0,1.11,2.4,0.77,1.61,1.01,2.3,0,1.29,1.13
"36112","Gm7670",0.92,0,0,0.77,0.81,1.01,0.77,0,0,0
"36113","Gm7672",7.37,1.11,0,3.83,1.61,4.05,2.3,6.53,3.88,1.13
"36114","Gm7674",0,0,0,0,0,0,0,0,0,0
"36115","Gm7675",0,0,0,0,0,0,0,0,0,0
"36116","Gm7676",1.84,1.11,4.8,0.77,2.42,5.06,3.07,5.44,0,2.26
"36117","Gm7678",0,0,0,0,0,0,0,0,0,0
"36118","Gm7680",0,0,0,0,0,0,0,0,0,0
"36119","Gm7682",0,0,0,0,0,0,0,0,0,0
"36120","Gm7684",0,0,0,0,0,0,0.77,0,0,2.26
"36121","Gm7688",0.92,0,0,0,0,0,0.77,0,0,0
"36122","Gm7690",0,0,0,0,0,0,0,0,0,0
"36123","Gm7691",0.92,0,1.2,0,0.81,0,0,0,1.29,0
"36124","Gm7692",0,0,0,0,0,2.02,0,0,0,0
"36125","Gm7693",0,0,1.2,0,0,0,0.77,0,1.29,0
"36126","Gm7694",89.38,88.91,68.46,72.69,78.98,75.89,55.21,65.29,91.76,69.04
"36127","Gm7695",0.92,0,0,0,0.81,1.01,0.77,1.09,5.17,0
"36128","Gm7696",0,0,0,0,0,0,0,0,0,0
"36129","Gm7697",0.92,0,0,0,0,0,0,0,1.29,0
"36130","Gm7700",0,0,0,0,0,0,0,0,0,0
"36131","Gm7701",3.69,5.56,6.01,3.83,4.03,3.04,5.37,3.26,6.46,4.53
"36132","Gm7706",0,0,0,1.53,0,0,0,0,0,0
"36133","Gm7707",0,0,0,0.77,0.81,0,0,1.09,1.29,1.13
"36134","Gm7708",0,0,0,0,0,0,0,0,0,0
"36135","Gm7709",0.92,0,0,0.77,0,0,0.77,0,0,0
"36136","Gm7712",0,0,0,0,0,0,0,1.09,0,1.13
"36137","Gm7713",0,0,0,0,0.81,1.01,0,0,0,0
"36138","Gm7714",0,0,0,0,0,0,0,0,0,0
"36139","Gm7719",0,0,1.2,1.53,0,0,0.77,1.09,0,0
"36140","Gm7720",0,0,0,0,0.81,1.01,0,0,0,0
"36141","Gm7721",0.92,0,0,0,0,1.01,0,0,0,0
"36142","Gm7722",1.84,0,1.2,0,0.81,0,0,1.09,1.29,3.4
"36143","Gm7726",0,0,0,0,0,0,0,0,0,0
"36144","Gm7727",0,0,0,0,0,0,0,1.09,0,1.13
"36145","Gm7729",1.84,2.22,0,0,1.61,2.02,0,0,1.29,0
"36146","Gm773",0,0,0,0,0,0,0,0,0,0
"36147","Gm7730",20.27,24.45,13.21,9.18,29.01,23.27,34.51,19.59,19.39,23.77
"36148","Gm7731",0,0,0,0,0,0,0,0,0,0
"36149","Gm7732",0,0,0,0,0,0,0,0,0,0
"36150","Gm7733",0,1.11,0,0,0,0,0.77,0,1.29,1.13
"36151","Gm7734",0,2.22,1.2,0,0.81,1.01,0,3.26,0,0
"36152","Gm7735",0,0,0,0,0,0,0,0,0,0
"36153","Gm7736",0,0,0,0,0,0,0,0,0,0
"36154","Gm7739",0,0,0,0,0,0,0,0,0,0
"36155","Gm7740",0,0,0,0,0,0,0,0,0,0
"36156","Gm7741",3.69,2.22,1.2,0,0,4.05,3.07,2.18,1.29,1.13
"36157","Gm7742",0,0,0,0,0,0,0,0,0,0
"36158","Gm7745",6.45,7.78,0,1.53,1.61,1.01,1.53,3.26,6.46,3.4
"36159","Gm7746",0,1.11,0,0,0,0,0.77,0,0,0
"36160","Gm7748",1.84,1.11,1.2,0,0.81,1.01,0.77,0,1.29,1.13
"36161","Gm7751",0,0,0,0,0,0,0,0,0,0
"36162","Gm7753",0,0,0,0,0,0,0,0,0,0
"36163","Gm7754",1.84,0,4.8,2.3,0,5.06,2.3,0,1.29,3.4
"36164","Gm7760",0,0,0,0,0,0,0,0,0,0
"36165","Gm7761",0,0,0,0,0.81,0,0,0,0,0
"36166","Gm7762",0,0,0,0,0,0,0,0,0,0
"36167","Gm7763",0,2.22,0,0,0,0,0,0,0,0
"36168","Gm7765",0,0,0,0,0,0,0,0,0,0
"36169","Gm7768",0,0,0,0,0,0,0,0,0,0
"36170","Gm7769",0,0,0,0,0,0,0,0,0,0
"36171","Gm7773",0,0,0,0,0,0,0,0,0,0
"36172","Gm7774",0,0,0,1.53,0.81,1.01,1.53,0,0,0
"36173","Gm7775",0.92,0,0,0,0,0,0,0,0,0
"36174","Gm7776",0,1.11,0,2.3,2.42,1.01,3.83,1.09,3.88,2.26
"36175","Gm7778",0,0,0,0,0,0,0,0,0,0
"36176","Gm7780",0,0,2.4,0,1.61,0,0,0,1.29,1.13
"36177","Gm7781",0,1.11,0,0,0,0,0,0,0,0
"36178","Gm7783",0.92,4.45,0,0.77,0,0,1.53,2.18,3.88,2.26
"36179","Gm7784",0.92,1.11,1.2,0,1.61,1.01,0.77,2.18,0,0
"36180","Gm7785",9.21,5.56,14.41,15.3,7.25,11.13,16.87,11.97,12.92,7.92
"36181","Gm7786",0,0,0,0,0,0,0,0,0,0
"36182","Gm7787",2.76,0,0,0,1.61,1.01,0,2.18,3.88,0
"36183","Gm7788",0.92,2.22,7.21,3.06,1.61,1.01,0,0,0,0
"36184","Gm7789",0,0,0,0,0,0,0,0,0,0
"36185","Gm7790",0,0,0,0,0.81,1.01,0.77,0,0,1.13
"36186","Gm7791",0,0,0,0,0,0,0,0,0,0
"36187","Gm7792",0,0,0,0,0,0,0,0,0,0
"36188","Gm7798",0,0,0,0,0,0,0,0,0,0
"36189","Gm7799",0,0,0,0,0,1.01,0,0,0,0
"36190","Gm7802",0,0,0,0,0,1.01,0,0,0,0
"36191","Gm7803",0,0,1.2,0.77,0,1.01,0.77,0,0,1.13
"36192","Gm7804",0,0,0,0,0,0,0,0,0,0
"36193","Gm7805",0,0,0,0,0,0,0,0,0,0
"36194","Gm7807",0,0,0,0,0,0,0,0,0,0
"36195","Gm7808",46.99,47.79,66.06,44.38,48.36,43.51,48.31,46.79,47.82,89.42
"36196","Gm7809",0,2.22,7.21,0,1.61,3.04,0.77,5.44,1.29,3.4
"36197","Gm7812",0,0,1.2,0,0,0,0,0,0,0
"36198","Gm7814",0,0,0,0,0,0,0,0,0,0
"36199","Gm7815",0,0,0,0,0.81,1.01,0,1.09,0,0
"36200","Gm7816",5.53,6.67,7.21,7.65,4.03,8.1,8.43,11.97,9.05,10.19
"36201","Gm7818",172.3,196.72,151.33,208.88,207.12,269.16,291.38,262.24,288.22,310.12
"36202","Gm7820",0.92,0,0,0,0,0,0,0,0,1.13
"36203","Gm7821",0,0,0,0,0,0,0,0,0,0
"36204","Gm7822",0,0,0,0,0,0,0,0,0,0
"36205","Gm7823",0,0,0,0,0,0,0,0,0,0
"36206","Gm7824",0.92,0,0,0,0,0,0,0,0,1.13
"36207","Gm7825",0,0,0,0,0,0,0,0,0,0
"36208","Gm7831",0,0,0,0,0,0,0,0,0,0
"36209","Gm7832",16.59,7.78,25.22,12.24,8.06,15.18,9.97,17.41,14.22,18.11
"36210","Gm7833",0,2.22,0,1.53,0,0,0.77,0,0,0
"36211","Gm7834",0,0,0,0,0,0,0,0,0,0
"36212","Gm7836",0,0,0,0,0,0,0,0,0,0
"36213","Gm7837",0,0,0,0,0,0,0,0,0,0
"36214","Gm7838",0,0,0,3.06,0,0,0,1.09,0,0
"36215","Gm7839",0,0,0,0,0,0,0,0,0,0
"36216","Gm7840",0,0,0,0,0,0,0,0,0,0
"36217","Gm7841",0,0,0,0,0,1.01,0,0,0,0
"36218","Gm7842",0,0,0,0,1.61,1.01,0.77,0,0,1.13
"36219","Gm7846",6.45,0,1.2,0,2.42,0,2.3,4.35,2.58,4.53
"36220","Gm7847",0,0,1.2,0,0.81,0,0,0,0,1.13
"36221","Gm7848",0,0,0,0,0,0,0,0,0,0
"36222","Gm7850",0,0,0,0,0,0,1.53,0,0,0
"36223","Gm7851",0,0,0,0,0,0,0,0,0,0
"36224","Gm7853",0,0,0,0,0,0,0,0,0,0
"36225","Gm7854",3.69,13.34,4.8,14.54,6.45,6.07,13.8,29.38,9.05,10.19
"36226","Gm7855",0,0,0,0,0.81,0,0,0,0,0
"36227","Gm7856",0,0,0,0,0,0,0,0,0,0
"36228","Gm7857",0.92,0,0,0,0,0,0,1.09,1.29,1.13
"36229","Gm7858",0,0,0,0,0,0,0.77,0,0,0
"36230","Gm7859",2.76,2.22,4.8,1.53,0,0,2.3,1.09,0,0
"36231","Gm7860",0,1.11,0,1.53,1.61,0,0,0,1.29,2.26
"36232","Gm7862",5.53,1.11,8.41,3.06,4.84,7.08,2.3,0,3.88,4.53
"36233","Gm7863",0.92,0,0,0,0.81,1.01,0.77,1.09,0,0
"36234","Gm7867",0.92,1.11,2.4,0,2.42,2.02,0.77,1.09,0,2.26
"36235","Gm7868",4.61,5.56,6.01,3.83,4.03,6.07,7.67,4.35,3.88,0
"36236","Gm7869",0,0,0,0,0,0,0,0,0,0
"36237","Gm7870",0.92,0,0,0,2.42,1.01,0.77,1.09,0,1.13
"36238","Gm7871",0,0,0,0,0,0,0,0,0,0
"36239","Gm7874",0,0,0,0,0,0,0,0,0,0
"36240","Gm7876",0,0,0,0,0,0,0,0,0,0
"36241","Gm7879",0,1.11,2.4,0,0,0,0.77,1.09,0,1.13
"36242","Gm7880",0,0,0,0,0,0,0,0,0,0
"36243","Gm7882",0,0,0,0,0,0,0,0,0,0
"36244","Gm7887",25.8,14.45,24.02,18.36,16.92,33.39,19.17,21.76,19.39,29.43
"36245","Gm7889",0,0,0,0,0,0,0,0,0,0
"36246","Gm7890",0,1.11,0,0,0,0,0,0,0,0
"36247","Gm7891",0,0,0,0,0,0,0,0,0,0
"36248","Gm7893",0,0,0,0,0,0,0,0,0,0
"36249","Gm7895",11.06,8.89,13.21,7.65,17.73,15.18,10.74,16.32,10.34,13.58
"36250","Gm7896",0,0,0,0,0,0,0,0,0,0
"36251","Gm7897",0,0,0,0,0,0,0,0,0,0
"36252","Gm7898",0,0,0,0,0,0,0,0,0,0
"36253","Gm7899",1.84,2.22,1.2,3.83,2.42,0,2.3,1.09,2.58,2.26
"36254","Gm7901",14.74,24.45,14.41,32.9,21.76,25.3,17.64,23.94,10.34,19.24
"36255","Gm7902",0,1.11,0,2.3,1.61,1.01,2.3,0,1.29,2.26
"36256","Gm7903",0,0,0,0,0,0,0,0,0,0
"36257","Gm7904",0,1.11,0,0,0,0,0,0,0,0
"36258","Gm7905",0,0,0,0,0,0,0,0,0,0
"36259","Gm7908",10.14,4.45,16.81,16.07,8.06,8.1,8.43,5.44,11.63,14.71
"36260","Gm7909",0.92,0,0,0,0,0,0,1.09,0,0
"36261","Gm7910",0,0,0,0,0,0,0,0,0,0
"36262","Gm7911",0,0,0,0,1.61,0,0,0,0,0
"36263","Gm7912",0,0,0,1.53,0,0,0,0,0,0
"36264","Gm7916",0,0,0,0.77,0,0,0,0,0,0
"36265","Gm7917",0,0,0,0,0,0,0,0,0,0
"36266","Gm7919",0,0,0,0,0,0,0,0,0,0
"36267","Gm7920",0,0,0,0,0,0,0,0,0,0
"36268","Gm7924",0,0,0,0,0,0,0,0,0,0
"36269","Gm7925",0,0,0,0,0,0,0,0,0,0
"36270","Gm7926",7.37,6.67,2.4,3.06,6.45,2.02,5.37,5.44,3.88,3.4
"36271","Gm7927",0,0,0,0,0,0,0.77,0,0,0
"36272","Gm7928",0,0,0,0,0,0,0,0,0,0
"36273","Gm7929",0,0,0,0,0,0,0,0,0,0
"36274","Gm7930",0,0,0,0,0,0,0,0,0,0
"36275","Gm7931",3.69,0,1.2,0,0,0,1.53,2.18,0,1.13
"36276","Gm7932",25.8,22.23,30.03,30.6,34.65,32.38,31.44,15.23,21.97,16.98
"36277","Gm7933",0,0,0,0,0,0,0.77,0,0,0
"36278","Gm7935",3.69,1.11,7.21,0,2.42,6.07,0.77,2.18,6.46,10.19
"36279","Gm7936",3.69,3.33,8.41,6.89,6.45,7.08,16.1,11.97,11.63,16.98
"36280","Gm7939",0,0,0,0,0,0,0,0,0,0
"36281","Gm7940",0.92,0,0,0.77,0,0,0,0,1.29,2.26
"36282","Gm7941",0,0,0,0,0,1.01,0,0,0,0
"36283","Gm7942",0,0,0,0,0,0,0,0,0,0
"36284","Gm7943",0,0,0,0,0,0,0,0,0,0
"36285","Gm7945",0,0,0,0,0,0,0,0,0,0
"36286","Gm7946",0,0,0,0,0,0,0,0,0,0
"36287","Gm7947",3.69,2.22,1.2,0,0,1.01,0.77,2.18,0,0
"36288","Gm7948",0,0,0,0,0,0,0,0,0,0
"36289","Gm7950",0,0,0,0,0,0,0,0,0,0
"36290","Gm7951",0,0,0,0,0,0,0,0,0,0
"36291","Gm7952",0,0,0,0,0,0,0,0,0,0
"36292","Gm7953",0,0,0,0,0,0,0,0,0,0
"36293","Gm7954",0,0,0,0,0,0,0,0,0,0
"36294","Gm7957",0,0,0,0,0,0,0,0,0,0
"36295","Gm7958",0,0,0,0,0,0,0,0,0,0
"36296","Gm7959",0,0,0,0,0.81,0,0,0,1.29,0
"36297","Gm7961",0,0,0,0,0,0,0,0,0,0
"36298","Gm7962",4.61,6.67,3.6,0,5.64,0,2.3,4.35,6.46,3.4
"36299","Gm7964",216.53,227.84,189.76,171.38,210.34,202.38,227.74,159.95,193.87,192.41
"36300","Gm7965",0.92,0,0,0,0,0,0,1.09,0,0
"36301","Gm7967",2.76,1.11,0,6.12,8.06,3.04,3.07,5.44,11.63,5.66
"36302","Gm7968",0,0,0,0,0,0,0,0,0,0
"36303","Gm7969",0,0,0,0,0,0,0,0,0,0
"36304","Gm7970",0,0,0,0,0,0,0,0,0,0
"36305","Gm7971",0,0,0,0,0,0,0,0,0,0
"36306","Gm7972",0,5.56,6.01,9.95,6.45,3.04,6.9,3.26,1.29,1.13
"36307","Gm7973",0.92,0,1.2,0,0,0,0,0,0,0
"36308","Gm7974",0,0,0,0,0,0,0,0,0,0
"36309","Gm7977",0,2.22,0,0,0,0,0.77,0,1.29,2.26
"36310","Gm7978",0,0,0,0,0,0,0,0,0,0
"36311","Gm7979",0.92,1.11,1.2,0,0.81,1.01,0,0,0,0
"36312","Gm7980",0,0,0,0,0,0,0,0,0,0
"36313","Gm7982",0,0,0,0,0,0,0,0,0,0
"36314","Gm7984",1.84,6.67,6.01,6.12,8.06,4.05,13.8,7.62,14.22,7.92
"36315","Gm7985",1.84,4.45,4.8,1.53,1.61,8.1,1.53,5.44,3.88,4.53
"36316","Gm7986",0,3.33,0,0,1.61,0,0,0,2.58,4.53
"36317","Gm7988",0,0,0,0,0,0,0,0,0,0
"36318","Gm7990",0,0,0,0,0,0,0,0,0,0
"36319","Gm7991",0,0,0,0,0,0,0,0,0,0
"36320","Gm7993",3.69,5.56,2.4,3.06,7.25,0,4.6,5.44,2.58,4.53
"36321","Gm7995",0,0,0,0,0,0,0,0,0,0
"36322","Gm7997",0,0,2.4,0,0,0,0,0,0,0
"36323","Gm8000",0.92,2.22,0,0,0,0,0.77,0,0,0
"36324","Gm8004",0,0,0,0,0,0,0,0,0,0
"36325","Gm8005",0,0,0,0,0,0,0,0,0,0
"36326","Gm8009",0,0,0,0.77,0,0,0,0,0,0
"36327","Gm8010",1.84,3.33,1.2,0.77,2.42,3.04,0,0,5.17,1.13
"36328","Gm8011",0,0,0,0,0,0,0,0,0,0
"36329","Gm8013",0,2.22,0,2.3,0,0,1.53,1.09,0,1.13
"36330","Gm8016",0,0,0,0,0,0,0,0,0,0
"36331","Gm8018",0,0,0,0,0,0,0,0,0,0
"36332","Gm8019",0,0,0,0.77,0,0,0,0,0,0
"36333","Gm8020",0,0,0,0,0,0,0,0,0,0
"36334","Gm8022",0,0,0,0,0,0,0,0,0,0
"36335","Gm8023",0,0,0,0,0,0,0.77,0,0,0
"36336","Gm8024",0,0,0,0,0,0,0,0,0,0
"36337","Gm8031",0,0,0,0,3.22,0,0,0,2.58,1.13
"36338","Gm8032",0,0,0,0,0,1.01,0,0,0,0
"36339","Gm8034",11.98,3.33,4.8,2.3,12.09,6.07,11.5,11.97,9.05,12.45
"36340","Gm8035",0,0,0,0,0,0,0,0,0,0
"36341","Gm8036",2.76,0,0,0,0,0,0,0,0,0
"36342","Gm8038",0,0,0,0,0,0,0,0,0,0
"36343","Gm8039",0,0,0,0,0,0,0,0,0,0
"36344","Gm8041",0,0,0,0,0,0,0,0,2.58,0
"36345","Gm8043",0,0,0,0,0,0,0,0,0,0
"36346","Gm8046",0,0,0,0,0,0,0,0,0,1.13
"36347","Gm8047",0,0,0,0,0,0,0,0,0,0
