"","gene","STR-M-CRE1","STR-M-CRE2","STR-M-CRE3","STR-M-DSVA1","STR-M-DSVA2","STR-M-DSVA3","STR-M-DSVA4","STR-M-XDP1","STR-M-XDP2","STR-M-XDP3"
"2567","A930033M14Rik",0,2.22,0,1.53,0,0,0,0,2.58,0
"2568","A930035D04Rik",2.76,4.45,10.81,6.89,8.87,6.07,8.43,11.97,11.63,4.53
"2569","A930036I15Rik",11.98,5.56,2.4,0,7.25,4.05,3.07,1.09,1.29,2.26
"2570","A930036K24Rik",0,1.11,0,0,0,0,1.53,0,0,0
"2571","A930037H05Rik",35.94,53.35,50.44,43.61,66.89,48.57,34.51,35.91,29.73,35.09
"2572","A930038B10Rik",0,0,0,2.3,3.22,4.05,0,0,2.58,0
"2573","A930040O22Rik",0,2.22,3.6,3.83,4.03,0,0,4.35,9.05,0
"2574","A930041C12Rik",2.76,0,2.4,1.53,0.81,0,1.53,1.09,1.29,1.13
"2575","A930104D05Rik",0,0,0,0,0,0,2.3,0,0,0
"2576","AA386476",0.92,2.22,0,1.53,6.45,0,3.07,2.18,6.46,0
"2577","AA387200",11.06,3.33,6.01,3.83,9.67,2.02,3.07,4.35,2.58,4.53
"2578","AA387883",68.18,44.46,96.08,98.7,64.47,52.62,41.41,21.76,14.22,33.96
"2579","AA388235",47.91,21.12,55.25,56.62,37.07,54.64,49.08,44.61,33.6,37.35
"2580","AA413626",1.84,0,0,0.77,0,0,1.53,0,1.29,0
"2581","AA414768",203.63,230.07,192.17,195.1,187.78,247.91,223.14,218.71,237.81,238.82
"2582","AA414992",0,0,0,0,0,0,0,0,0,0
"2583","AA465934",67.26,65.57,57.65,86.46,78.98,60.71,59.04,95.75,65.92,69.04
"2584","AA467197",4.61,3.33,4.8,4.59,1.61,0,2.3,2.18,1.29,2.26
"2585","AA474408",7.37,2.22,1.2,5.36,6.45,5.06,0.77,3.26,3.88,5.66
"2586","AA536875",0,0,0,0,2.42,0,0,1.09,0,0
"2587","AA543401",0,0,0,0,0,0,0,0,0,0
"2588","AA545190",0,0,1.2,0,0,0,0,0,0,0
"2589","AA619741",0,0,0,0,0,0,0,0,0,0
"2590","AA623943",0,0,0,0,0,0,0,0,0,0
