"","gene","STR-M-DSVA1","STR-M-DSVA2","STR-M-DSVA3","STR-M-DSVA4","STR-M-XDP1","STR-M-XDP2","STR-M-XDP3","baseMean","log2FC","log2FCunshrunk","pvalue","padj"
"27","1110003F10Rik",1.59,0.83,1.05,0.79,1.12,0,0,0.8,-0.01,-1.3,0.52708,NA
"28","1110004F10Rik",2563.38,2507.33,2545.09,2411.42,2392.19,2161.74,2417.08,2428.3,-0.04,-0.11,0.21531,0.69199
"29","1110006O24Rik",15.1,19.95,8.37,15.84,4.49,20,10.53,13.5,-0.01,-0.37,0.54556,0.88103
"30","1110008E08Rik",0,0,1.05,1.58,2.25,0,1.17,0.9,0,0.83,0.70224,NA
"31","1110008P14Rik",1915.78,1005.92,1013.23,1090.84,1081.03,1086.87,1230.77,1203.5,-0.02,-0.15,0.50813,0.86393
"32","1110012L19Rik",353.6,335.86,314.74,321.63,290.74,344.06,397.78,336.9,0.01,0.05,0.72308,0.93983
"33","1110013H19Rik",17.48,7.48,10.46,10.3,13.47,8,11.7,11.3,0,-0.04,0.93978,0.98961
"34","1110015O18Rik",107.27,141.33,157.89,200.42,179.61,137.36,149.75,153.4,0,0.04,0.87563,0.97753
"35","1110017D15Rik",84.23,188.71,163.12,95.06,161.65,141.36,166.13,142.9,0.02,0.24,0.41923,0.82617
"36","1110018N20Rik",158.92,114.73,71.1,59.41,120.11,130.69,107.63,108.9,0.02,0.24,0.47443,0.85019
"37","1110019B22Rik",0,0,0,0,0,0,0,0,0,NA,NA,NA
"38","1110019D14Rik",59.59,59.86,47.05,35.65,53.88,48.01,58.5,51.8,0.01,0.08,0.78217,0.9527
"39","1110020A21Rik",15.1,19.12,10.46,19.8,17.96,14.67,18.72,16.5,0,0.08,0.86343,0.97405
"40","1110025L11Rik",0,0,0,0,0,0,0,0,0,NA,NA,NA
"41","1110025M09Rik",4.77,6.65,8.37,9.51,17.96,12,12.87,10.3,0.06,0.97,0.09202,NA
"42","1110028F11Rik",1.59,0.83,0,0,3.37,2.67,0,1.2,0.01,1.7,0.38317,NA
"43","1110028F18Rik",0,0,0,0,0,0,0,0,0,NA,NA,NA
"44","1110032A03Rik",977.36,1013.41,879.39,965.68,995.72,1122.88,1322.02,1039.5,0.09,0.26,0.04607,0.39025
"45","1110032F04Rik",400.48,94.77,164.17,149.72,153.79,141.36,152.09,179.5,-0.03,-0.44,0.26671,0.73926
"46","1110035H17Rik",3.18,0.83,4.18,3.96,5.61,2.67,4.68,3.6,0.01,0.53,0.5879,NA
"47","1110038B12Rik",220.9,155.46,121.29,130.71,141.44,164.03,133.37,152.5,-0.01,-0.11,0.66167,0.91877
"48","1110038F14Rik",361.54,299.28,287.55,297.07,260.44,290.72,315.88,301.8,-0.02,-0.11,0.47395,0.85019
"49","1110046J04Rik",56.42,30.76,31.37,30.1,33.68,32.01,50.31,37.8,0,0.06,0.88238,0.97911
"50","1110051M20Rik",1780.7,1792.37,2188.53,2283.09,2132.88,2084.39,2060.25,2046,0.01,0.06,0.64691,0.91517
"51","1110057P08Rik",0,0,0,0,0,0,0,0,0,NA,NA,NA
"52","1110059E24Rik",622.17,690.01,685.94,689.2,625.27,621.45,697.28,661.6,-0.01,-0.05,0.64109,0.91262
"53","1110059G10Rik",386.97,436.45,479.95,362.82,358.1,352.07,442.23,402.7,-0.02,-0.11,0.46825,0.84735
"54","1110060G06Rik",0,2.49,1.05,0.79,1.12,0,3.51,1.3,0,0.53,0.76207,NA
"55","1110065P20Rik",982.92,1020.06,779,897.55,773.45,813.49,961.68,889.7,-0.02,-0.12,0.41175,0.82369
"56","1190001M18Rik",3.18,0,2.09,1.58,3.37,0,0,1.5,0,-0.57,0.75885,NA
"57","1190005I06Rik",32.58,33.25,27.19,27.73,23.57,21.34,24.57,27.2,-0.03,-0.38,0.28235,0.74844
"58","1190007I07Rik",151.77,130.52,123.39,113.28,125.73,134.69,114.65,127.7,-0.01,-0.06,0.77248,0.9508
"59","1190028D05Rik",0,0,0,0,0,0,0,0,0,NA,NA,NA
"60","1200007C13Rik",0,0,0,0,0,0,0,0,0,NA,NA,NA
"61","1300002E11Rik",166.07,169.59,148.48,114.87,127.97,170.7,177.83,153.6,0.01,0.08,0.69732,0.93027
"62","1300014J16Rik",7.15,13.3,0,0.79,5.61,4,3.51,4.9,0,-0.29,0.80774,NA
"63","1300017J02Rik",7.15,4.16,2.09,1.58,0,5.33,1.17,3.1,-0.01,-0.84,0.50309,NA
"64","1500002C15Rik",50.06,40.74,48.1,57.04,37.04,49.34,35.1,45.3,-0.03,-0.28,0.34362,0.78635
"65","1500002F19Rik",11.92,4.16,4.18,11.88,7.86,8,10.53,8.4,0,0.12,0.86763,NA
"66","1500004A13Rik",1401.67,1254.5,1171.12,1324.54,1325.75,1292.24,1038.9,1258.4,-0.02,-0.08,0.5319,0.87548
"67","1500005C15Rik",0,0,1.05,1.58,0,0,1.17,0.5,0,-0.6,0.83362,NA
"68","1500009C09Rik",3508.95,3465.04,3376.38,3846.08,3469.85,3559.34,4194.2,3631.4,0.02,0.08,0.48235,0.85205
"69","1500009L16Rik",363.13,405.7,425.58,434.12,348,414.74,380.23,395.9,-0.02,-0.1,0.47265,0.84948
"70","1500011B03Rik",2985.31,2862.31,2944.53,3323.23,3129.72,2945.89,3367.06,3079.7,0.01,0.06,0.58033,0.89598
"71","1500012K07Rik",10.33,0.83,0,0.79,0,1.33,2.34,2.2,-0.01,-1.31,0.45448,NA
"72","1500015A07Rik",46.09,68.17,50.19,44.36,49.39,54.68,50.31,51.9,0,-0.02,0.93838,0.98915
"73","1500015L24Rik",6.36,8.31,2.09,6.34,1.12,1.33,0,3.7,-0.05,-2.85,0.03293,NA
"74","1500026H17Rik",73.9,69,51.24,53.08,55.01,57.34,50.31,58.6,-0.02,-0.19,0.47166,0.84948
"75","1500032F14Rik",3.18,2.49,1.05,0,0,0,2.34,1.3,-0.01,-1.09,0.58264,NA
"76","1500035N22Rik",87.41,85.63,61.69,72.09,71.84,54.68,122.84,79.5,0.01,0.12,0.70489,0.93358
"77","1520401A03Rik",0.79,4.99,0,0,0,0,0,0.8,-0.01,-2.71,0.36272,NA
"78","1600002D24Rik",4.77,1.66,3.14,0,7.86,1.33,1.17,2.8,0.01,0.55,0.67515,NA
"79","1600010M07Rik",2.38,0.83,2.09,3.17,3.37,0,2.34,2,0,-0.13,0.92331,NA
"80","1600012H06Rik",684.94,545.36,477.86,502.25,479.34,558.77,400.12,521.2,-0.04,-0.21,0.24114,0.71616
"81","1600012P17Rik",0,0,0,0,0,0,0,0,0,NA,NA,NA
"82","1600014C10Rik",863.73,936.92,959.9,1019.55,959.79,1077.54,872.77,955.7,0.01,0.04,0.75773,0.94908
"83","1600014C23Rik",10.33,4.99,2.09,9.51,2.25,1.33,4.68,5,-0.03,-1.29,0.18126,NA
"84","1600017P15Rik",3.18,1.66,0,0.79,2.25,5.33,2.34,2.2,0.02,1.18,0.36129,NA
"85","1600019K03Rik",0,0,0,0,0,0,0,0,0,NA,NA,NA
"86","1600020E01Rik",237.59,164.61,152.66,171.9,140.32,116.02,187.19,167.2,-0.04,-0.3,0.20729,0.68451
"87","1600022D10Rik",0,0.83,0,0,0,0,0,0.1,0,-0.23,0.95104,NA
"88","1600023N17Rik",5.56,6.65,4.18,5.55,2.25,2.67,2.34,4.2,-0.03,-1.19,0.19793,NA
"89","1600025M17Rik",0,0,0,0,0,0,0,0,0,NA,NA,NA
"90","1600027J07Rik",0,1.66,0,0,0,0,0,0.2,0,-0.97,0.79871,NA
"91","1600029O15Rik",23.84,11.64,15.68,7.92,19.08,12,10.53,14.4,0,-0.08,0.88097,0.97844
"92","1700001C19Rik",5.56,6.65,3.14,0.79,2.25,5.33,2.34,3.7,-0.01,-0.31,0.76765,NA
"93","1700001D01Rik",0,0,0,0,0,0,0,0,0,NA,NA,NA
"94","1700001F09Rik",1.59,0.83,3.14,0,0,0,0,0.8,-0.01,-2.63,0.29316,NA
"95","1700001G01Rik",0,0,0,0,0,0,0,0,0,NA,NA,NA
"96","1700001G11Rik",13.51,4.99,5.23,2.38,14.59,10.67,10.53,8.8,0.03,0.87,0.22731,NA
"97","1700001G17Rik",1.59,7.48,6.27,5.55,4.49,5.33,4.68,5.1,0,-0.11,0.90043,NA
"98","1700001J03Rik",0,0,0,0,0,0,0,0,0,NA,NA,NA
"99","1700001J04Rik",0,0.83,0,0,0,0,0,0.1,0,-0.23,0.95104,NA
"100","1700001J11Rik",0,0,0,0,0,0,0,0,0,NA,NA,NA
"101","1700001K19Rik",0,2.49,1.05,0,0,0,0,0.5,-0.01,-1.99,0.55665,NA
"102","1700001K23Rik",2.38,0,0,0,0,0,0,0.3,0,-1.44,0.70289,NA
"103","1700001L05Rik",117.6,119.71,128.61,66.54,151.55,109.35,71.37,109.2,0,0.04,0.90384,0.98414
"104","1700001L19Rik",363.13,210.33,225.86,171.11,225.64,208.04,215.27,231.3,-0.02,-0.17,0.50966,0.86417
"105","1700001N15Rik",0,0,0,0,0,0,0,0,0,NA,NA,NA
"106","1700001O22Rik",58.01,38.24,19.87,30.9,37.04,26.67,23.4,33.4,-0.02,-0.34,0.42347,0.82878
"107","1700001P01Rik",12.71,21.61,6.27,15.05,4.49,0,1.17,8.8,-0.2,-2.83,0.00249,NA
"108","1700003C15Rik",0,0,0,0,0,0,0,0,0,NA,NA,NA
"109","1700003D09Rik",75.49,156.29,136.98,76.84,215.53,142.69,122.84,132.4,0.06,0.53,0.09936,0.53491
"110","1700003E16Rik",677.79,478.02,565.69,510.96,490.56,448.08,555.72,532.4,-0.03,-0.16,0.30912,0.76644
"111","1700003E24Rik",0,0,0,0,0,0,0,0,0,NA,NA,NA
"112","1700003F12Rik",7.15,9.14,4.18,27.73,21.33,8,11.7,12.7,0.01,0.18,0.80762,0.96074
"113","1700003G18Rik",3.18,0,0,0,1.12,0,1.17,0.8,0,-0.06,0.98173,NA
"114","1700003H04Rik",0,0,0,0,0,0,0,0,0,NA,NA,NA
"115","1700003I16Rik",0,0.83,0,0,0,2.67,0,0.5,0,1.75,0.60552,NA
"116","1700003I22Rik",0,0,0,0,0,0,0,0,0,NA,NA,NA
"117","1700003L19Rik",5.56,0.83,0,3.96,1.12,1.33,1.17,2,-0.01,-1.13,0.45857,NA
"118","1700003M07Rik",207.39,166.27,173.58,258.25,139.2,150.7,163.79,179.9,-0.09,-0.42,0.04531,0.38802
"119","1700003N22Rik",7.15,0.83,3.14,3.17,1.12,4,0,2.8,-0.02,-1.11,0.40221,NA
"120","1700003O11Rik",0,0,0,0,0,0,0,0,0,NA,NA,NA
"121","1700003P14Rik",0,0,0,0,0,0,0,0,0,NA,NA,NA
"122","1700006A11Rik",0,0,0,0,0,0,0,0,0,NA,NA,NA
"123","1700006F04Rik",0,0,0,0,0,1.33,0,0.2,0,1.45,0.70428,NA
"124","1700006H21Rik",0,0,0,0,0,0,0,0,0,NA,NA,NA
"125","1700006J14Rik",0,1.66,0,0.79,0,1.33,0,0.5,0,-0.52,0.85341,NA
"126","1700006P03Rik",0,0,0,0,0,0,0,0,0,NA,NA,NA
"127","1700007E05Rik",0,0,0,0,0,0,0,0,0,NA,NA,NA
"128","1700007F19Rik",10.33,3.33,4.18,10.3,4.49,2.67,11.7,6.7,0,-0.16,0.84301,NA
"129","1700007H22Rik",0,0,0,0,0,0,0,0,0,NA,NA,NA
"130","1700007J10Rik",0,0,0,0,2.25,0,0,0.3,0,2.26,0.55064,NA
"131","1700007K13Rik",61.98,138,89.93,108.53,117.87,121.36,132.2,110,0.04,0.31,0.25845,0.73077
"132","1700007L15Rik",4.77,10.81,11.5,15.84,12.35,24,3.51,11.8,0.01,0.3,0.67295,0.92237
"133","1700007M16Rik",0,0,0,0,0,0,0,0,0,NA,NA,NA
"134","1700007P06Rik",6.36,0,0,0,0,0,0,0.9,-0.01,-2.85,0.4159,NA
"135","1700008A23Rik",0,0.83,0,0.79,0,0,1.17,0.4,0,0.01,0.99652,NA
"136","1700008B11Rik",0,0,0,0,0,0,0,0,0,NA,NA,NA
"137","1700008C04Rik",0,0,0,0,0,0,0,0,0,NA,NA,NA
"138","1700008H02Rik",0,0,1.05,0,0,0,0,0.1,0,-0.23,0.95104,NA
"139","1700008J07Rik",82.64,57.36,76.33,66.54,48.27,61.34,56.16,64.1,-0.05,-0.36,0.16927,0.64638
"140","1700008K24Rik",0,0,0,0,0,0,0,0,0,NA,NA,NA
"141","1700008N11Rik",0,0,0,0,0,0,0,0,0,NA,NA,NA
"142","1700008O03Rik",49.27,61.52,41.83,56.25,55.01,84.02,79.56,61.1,0.07,0.47,0.08739,0.50718
"143","1700008P02Rik",0,0,0,0,0,0,0,0,0,NA,NA,NA
"144","1700009C05Rik",1.59,2.49,0,0.79,1.12,2.67,0,1.2,0,0,0.99981,NA
"145","1700009J07Rik",0.79,0,2.09,0,0,0,0,0.4,0,-1.68,0.64158,NA
"146","1700009N14Rik",0,0,0,0,0,0,0,0,0,NA,NA,NA
"147","1700010B08Rik",0,0,0,0.79,0,0,0,0.1,0,-0.23,0.95104,NA
"148","1700010B13Rik",2.38,0,0,3.17,0,0,4.68,1.5,0,0.16,0.94215,NA
"149","1700010D01Rik",0,0,0,0,0,0,0,0,0,NA,NA,NA
"150","1700010G06Rik",3.18,0,0,0,0,1.33,1.17,0.8,0,0.03,0.98994,NA
"151","1700010H22Rik",0,0,0,0,0,0,0,0,0,NA,NA,NA
"152","1700010I02Rik",0,0,0,0,0,0,0,0,0,NA,NA,NA
"153","1700010I14Rik",41.32,46.56,51.24,30.1,43.78,37.34,36.27,40.9,-0.01,-0.1,0.74329,0.94394
"154","1700010J16Rik",0,0,0,0,0,0,0,0,0,NA,NA,NA
"155","1700010K23Rik",1.59,0,0,0,1.12,0,5.85,1.2,0.01,2.46,0.27783,NA
"156","1700010K24Rik",0.79,0.83,0,3.17,1.12,1.33,1.17,1.2,0,-0.03,0.98761,NA
"157","1700010L04Rik",0,0,0,0,0,0,0,0,0,NA,NA,NA
"158","1700010N08Rik",0,0,0,0,0,0,0,0,0,NA,NA,NA
"159","1700011B04Rik",0,0,0,0,0,0,0,0,0,NA,NA,NA
"160","1700011C11Rik",0,0,0,0,0,0,0,0,0,NA,NA,NA
"161","1700011D18Rik",0.79,2.49,6.27,0,1.12,2.67,1.17,2.1,-0.01,-0.51,0.7325,NA
"162","1700011L03Rik",1.59,0,0,0,0,0,0,0.2,0,-0.93,0.80793,NA
"163","1700011L22Rik",0,0.83,0,0,0,0,1.17,0.3,0,0.73,0.84886,NA
"164","1700011M02Rik",0,0,0,0,0,0,0,0,0,NA,NA,NA
"165","1700012A03Rik",0,0,0,0,0,0,0,0,0,NA,NA,NA
"166","1700012B07Rik",0,0,0,0,0,0,0,0,0,NA,NA,NA
"167","1700012B09Rik",10.33,64.01,24.05,22.97,39.29,66.68,32.76,37.2,0.03,0.6,0.27721,0.74499
"168","1700012C08Rik",0,0,0,0,0,0,0,0,0,NA,NA,NA
"169","1700012C14Rik",3.18,3.33,1.05,1.58,2.25,5.33,1.17,2.6,0.01,0.31,0.78425,NA
"170","1700012D14Rik",15.1,20.78,7.32,17.43,13.47,10.67,14.04,14.1,-0.01,-0.26,0.6274,0.91017
"171","1700012D16Rik",0,0,0,0,0,0,0,0,0,NA,NA,NA
"172","1700012E03Rik",0,0,0,0,0,0,0,0,0,NA,NA,NA
"173","1700012I11Rik",0,0,0,0,0,1.33,0,0.2,0,1.45,0.70428,NA
"174","1700012J15Rik",0,0,0,0,0,0,0,0,0,NA,NA,NA
"175","1700012J22Rik",0,0,0,0,0,0,0,0,0,NA,NA,NA
"176","1700012P22Rik",0,0,0,0,0,0,0,0,0,NA,NA,NA
"177","1700013A02Rik",0,0,0,0,0,0,0,0,0,NA,NA,NA
"178","1700013D24Rik",0,0,0,0,0,0,0,0,0,NA,NA,NA
"179","1700013F07Rik",15.89,42.4,28.23,15.84,46.03,41.34,38.61,32.6,0.06,0.72,0.09234,0.51873
"180","1700013G24Rik",0,0,0,0,0,0,0,0,0,NA,NA,NA
"181","1700013H16Rik",1.59,0.83,1.05,1.58,1.12,0,1.17,1,-0.01,-0.69,0.68997,NA
"182","1700013M08Rik",0,0,0,0,0,0,0,0,0,NA,NA,NA
"183","1700013N06Rik",0,0,0,0,0,0,0,0,0,NA,NA,NA
"184","1700014D04Rik",18.28,24.94,21.96,19.8,21.33,6.67,10.53,17.6,-0.04,-0.71,0.16023,0.63197
"185","1700014F14Rik",0,0,0,0,0,0,0,0,0,NA,NA,NA
"186","1700014L14Rik",0,0,0,0,1.12,0,0,0.2,0,1.45,0.70428,NA
"187","1700015C15Rik",0,0,2.09,0,0,0,1.17,0.5,0,-0.14,0.96777,NA
"188","1700015C17Rik",0,0.83,0,0,0,0,0,0.1,0,-0.23,0.95104,NA
"189","1700015F17Rik",0.79,3.33,1.05,3.17,1.12,0,0,1.4,-0.02,-2.28,0.21226,NA
"190","1700015G11Rik",0,0,0,0,0,0,0,0,0,NA,NA,NA
"191","1700015H07Rik",0,0,0,0,0,0,0,0,0,NA,NA,NA
"192","1700015I17Rik",0,0,0,0,0,0,0,0,0,NA,NA,NA
"193","1700015O11Rik",0,0,0,0,0,2.67,1.17,0.5,0.01,3,0.3467,NA
"194","1700016A09Rik",7.15,6.65,7.32,2.38,7.86,2.67,8.19,6,0,0.11,0.89031,NA
"195","1700016B01Rik",0,0,0,0,0,0,0,0,0,NA,NA,NA
"196","1700016B15Rik",0,0,0,0,0,0,1.17,0.2,0,1.45,0.70428,NA
"197","1700016C15Rik",2.38,1.66,2.09,2.38,1.12,2.67,5.85,2.6,0.01,0.59,0.59567,NA
"198","1700016D06Rik",0.79,1.66,0,2.38,6.74,1.33,0,1.8,0.01,1.14,0.47766,NA
"199","1700016D08Rik",0,0,0,0,0,0,0,0,0,NA,NA,NA
"200","1700016F12Rik",0,0,0,0,0,0,0,0,0,NA,NA,NA
"201","1700016G22Rik",0,0,0,0,0,0,0,0,0,NA,NA,NA
"202","1700016H03Rik",0,0,0,0,0,0,0,0,0,NA,NA,NA
"203","1700016H13Rik",0.79,2.49,0,1.58,1.12,0,8.19,2,0.01,1.33,0.40078,NA
"204","1700016J18Rik",0.79,4.99,1.05,3.17,3.37,1.33,3.51,2.6,0,0.13,0.91126,NA
"205","1700016K05Rik",0,0,0,0,0,0,0,0,0,NA,NA,NA
"206","1700016K19Rik",73.9,74.82,21.96,40.4,56.13,70.68,54.99,56.1,0.01,0.19,0.64134,0.91262
"207","1700016L21Rik",0,0,0,0,0,1.33,0,0.2,0,1.45,0.70428,NA
"208","1700016P03Rik",55.62,49.88,32.41,31.69,55.01,77.35,72.54,53.5,0.11,0.68,0.0309,0.32802
"209","1700016P04Rik",0,0,0,0,0,0,0,0,0,NA,NA,NA
"210","1700017B05Rik",211.36,256.88,255.14,276.47,249.21,364.07,239.84,264.7,0.03,0.18,0.34319,0.78604
"211","1700017G19Rik",0,0,0,0,0,0,0,0,0,NA,NA,NA
"212","1700017I07Rik",0,0,0,0,0,0,0,0,0,NA,NA,NA
"213","1700017J07Rik",0,1.66,0,0,0,0,0,0.2,0,-0.97,0.79871,NA
"214","1700017L05Rik",0,0,0,0,0,0,0,0,0,NA,NA,NA
"215","1700017M07Rik",0.79,10.81,6.27,2.38,2.25,1.33,3.51,3.9,-0.02,-1.08,0.34404,NA
"216","1700017N19Rik",0,0,0,0.79,0,4,0,0.7,0.01,2.34,0.44734,NA
"217","1700018A04Rik",1.59,4.99,3.14,7.92,1.12,1.33,0,2.9,-0.04,-2.46,0.08384,NA
"218","1700018A14Rik",0,2.49,0,0,0,1.33,0,0.5,0,-0.54,0.87257,NA
"219","1700018A23Rik",1.59,0,1.05,0,0,1.33,0,0.6,0,-0.6,0.83109,NA
"220","1700018B08Rik",0,0,0,1.58,0,0,0,0.2,0,-0.92,0.80855,NA
"221","1700018B24Rik",0,0,0,0,0,0,0,0,0,NA,NA,NA
"222","1700018F24Rik",0,0,0,0,0,0,0,0,0,NA,NA,NA
"223","1700018G05Rik",0,0,0,0,0,0,0,0,0,NA,NA,NA
"224","1700018L02Rik",10.33,12.47,14.64,7.92,11.23,8,16.38,11.6,0,0.08,0.88212,0.97906
"225","1700018M17Rik",0,0,0,0,0,0,0,0,0,NA,NA,NA
"226","1700018P08Rik",0,0,0,0,0,0,0,0,0,NA,NA,NA
"227","1700019A02Rik",3.18,4.99,6.27,0,3.37,2.67,1.17,3.1,-0.01,-0.57,0.64451,NA
"228","1700019A23Rik",0,0,0,0,0,0,0,0,0,NA,NA,NA
"229","1700019C18Rik",0,1.66,0,0,0,0,0,0.2,0,-0.97,0.79871,NA
"230","1700019D03Rik",461.66,263.54,351.34,254.29,269.42,301.39,324.07,318,-0.02,-0.16,0.48571,0.85385
"231","1700019E08Rik",0,0,0,0,0,0,0,0,0,NA,NA,NA
"232","1700019F05Rik",0,0,0,0,0,0,0,0,0,NA,NA,NA
"233","1700019G24Rik",7.95,19.12,11.5,12.68,16.84,16,25.74,15.7,0.04,0.61,0.22809,0.70486
"234","1700019J19Rik",3.18,0,0,0,0,0,0,0.5,0,-1.85,0.62157,NA
"235","1700019L13Rik",0.79,0.83,1.05,0.79,1.12,4,1.17,1.4,0.01,1.26,0.39418,NA
"236","1700019M22Rik",0,0,0,0,0,0,0,0,0,NA,NA,NA
"237","1700019N19Rik",12.71,15.8,8.37,4.75,10.1,4,8.19,9.1,-0.02,-0.47,0.49315,NA
"238","1700019P21Rik",0,0,0,0,0,0,0,0,0,NA,NA,NA
"239","1700020A23Rik",0,0,0,0,0,0,0,0,0,NA,NA,NA
"240","1700020D05Rik",1.59,3.33,0,0,1.12,0,0,0.9,-0.01,-1.52,0.5466,NA
"241","1700020D12Rik",0,0.83,0,0,0,0,0,0.1,0,-0.23,0.95104,NA
"242","1700020G03Rik",0,0,0,0,0,1.33,0,0.2,0,1.45,0.70428,NA
"243","1700020G17Rik",0,2.49,1.05,1.58,0,1.33,0,0.9,-0.01,-1.57,0.4704,NA
"244","1700020L24Rik",6.36,8.31,7.32,1.58,4.49,2.67,2.34,4.7,-0.02,-0.88,0.3479,NA
"245","1700020M21Rik",0,0,0,2.38,0,0,0,0.3,0,-1.44,0.70366,NA
"246","1700020N01Rik",0,0,0,1.58,0,0,3.51,0.7,0,1.48,0.62758,NA
"247","1700020N15Rik",0,0,0,0,0,0,0,0,0,NA,NA,NA
"248","1700020N18Rik",3.97,1.66,2.09,1.58,0,0,2.34,1.7,-0.02,-1.56,0.34161,NA
"249","1700021A07Rik",0,0,0,0,0,0,0,0,0,NA,NA,NA
"250","1700021F02Rik",0,0,0,0,0,0,0,0,0,NA,NA,NA
"251","1700021F07Rik",7.95,7.48,14.64,7.92,1.12,1.33,4.68,6.4,-0.09,-1.98,0.02582,NA
"252","1700021F13Rik",0,0,0,0,0,0,0,0,0,NA,NA,NA
"253","1700021G15Rik",0,0,0,0,0,0,0,0,0,NA,NA,NA
"254","1700021J08Rik",0,0.83,0,0,0,0,1.17,0.3,0,0.73,0.84886,NA
"255","1700021L23Rik",0,1.66,0,0,1.12,0,0,0.4,0,-0.01,0.99794,NA
"256","1700021N21Rik",1.59,1.66,0,0,1.12,2.67,0,1,0,0.59,0.77457,NA
"257","1700021P04Rik",0,0,0,0,0,0,0,0,0,NA,NA,NA
"258","1700022A21Rik",0,0,0,0,0,0,0,0,0,NA,NA,NA
"259","1700022A22Rik",0,0,0,0,0,0,0,0,0,NA,NA,NA
"260","1700022E09Rik",0,0,0,0,0,0,0,0,0,NA,NA,NA
"261","1700022H01Rik",1.59,4.99,3.14,0.79,0,0,2.34,1.8,-0.02,-1.72,0.30032,NA
"262","1700022H16Rik",0,0,0,0,0,0,0,0,0,NA,NA,NA
"263","1700022I11Rik",11.12,8.31,5.23,2.38,8.98,10.67,3.51,7.2,0.01,0.18,0.81807,NA
"264","1700022N22Rik",3.18,9.14,4.18,4.75,8.98,6.67,1.17,5.4,0,0.07,0.93292,NA
"265","1700023B13Rik",0.79,0,0,0.79,0,0,0,0.2,0,-0.93,0.80824,NA
"266","1700023C21Rik",0,0,0,0,1.12,0,0,0.2,0,1.45,0.70428,NA
"267","1700023F02Rik",3.97,2.49,2.09,1.58,0,1.33,2.34,2,-0.01,-1.07,0.44086,NA
"268","1700023G09Rik",0,0,0,0,0,0,0,0,0,NA,NA,NA
"269","1700023H06Rik",0,0,0,0,0,0,0,0,0,NA,NA,NA
"270","1700024B05Rik",0,0,0,0,0,0,0,0,0,NA,NA,NA
"271","1700024B18Rik",0,0,0,0,0,0,0,0,0,NA,NA,NA
